seq_id,GAAC_Aliphatic,GAAC_Aromatic,GAAC_Positive,GAAC_Negative,GAAC_Uncharged,label
pos_39,0.388889,0.0,0.222222,0.222222,0.166667,1
pos_40,0.583333,0.0,0.083333,0.083333,0.25,1
pos_41,0.1,0.05,0.1,0.2,0.55,1
pos_42,0.5,0.0,0.0,0.214286,0.285714,1
pos_43,0.375,0.125,0.125,0.25,0.125,1
pos_44,0.05,0.25,0.2,0.0,0.5,1
pos_45,0.666667,0.066667,0.066667,0.066667,0.133333,1
pos_46,0.5625,0.0,0.125,0.1875,0.125,1
pos_47,0.466667,0.066667,0.066667,0.0,0.4,1
pos_48,0.266667,0.066667,0.2,0.066667,0.4,1
pos_49,0.470588,0.058824,0.294118,0.0,0.176471,1
pos_50,0.34375,0.0625,0.28125,0.0625,0.25,1
pos_51,0.25,0.1,0.1,0.15,0.4,1
pos_52,0.466667,0.133333,0.266667,0.0,0.133333,1
pos_53,0.533333,0.133333,0.066667,0.066667,0.2,1
pos_54,0.461538,0.153846,0.076923,0.076923,0.230769,1
pos_55,0.333333,0.2,0.133333,0.133333,0.2,1
pos_56,0.416667,0.166667,0.166667,0.083333,0.166667,1
pos_57,0.333333,0.166667,0.166667,0.222222,0.111111,1
pos_58,0.45,0.15,0.1,0.15,0.15,1
pos_59,0.333333,0.166667,0.222222,0.166667,0.111111,1
pos_60,0.333333,0.133333,0.4,0.0,0.133333,1
pos_61,0.333333,0.166667,0.166667,0.166667,0.166667,1
pos_62,0.466667,0.0,0.066667,0.133333,0.333333,1
pos_63,0.4,0.133333,0.133333,0.2,0.133333,1
pos_64,0.4,0.1,0.15,0.05,0.3,1
pos_65,0.2,0.266667,0.066667,0.133333,0.333333,1
pos_66,0.346154,0.038462,0.269231,0.076923,0.269231,1
pos_67,0.375,0.0,0.416667,0.041667,0.166667,1
pos_68,0.333333,0.066667,0.266667,0.066667,0.266667,1
pos_69,0.384615,0.076923,0.230769,0.0,0.307692,1
pos_70,0.555556,0.111111,0.055556,0.0,0.277778,1
pos_71,0.4,0.0,0.2,0.05,0.35,1
pos_72,0.4,0.2,0.066667,0.066667,0.266667,1
pos_73,0.4,0.066667,0.2,0.066667,0.266667,1
pos_74,0.6,0.1,0.1,0.05,0.15,1
pos_75,0.5,0.0,0.071429,0.071429,0.357143,1
pos_76,0.333333,0.066667,0.133333,0.133333,0.333333,1
pos_77,0.4,0.05,0.3,0.05,0.2,1
pos_78,0.5,0.0,0.1,0.05,0.35,1
pos_79,0.153846,0.153846,0.153846,0.153846,0.384615,1
pos_80,0.466667,0.0,0.066667,0.066667,0.4,1
pos_81,0.285714,0.095238,0.095238,0.095238,0.428571,1
pos_82,0.375,0.1875,0.125,0.0625,0.25,1
pos_83,0.375,0.0625,0.125,0.3125,0.125,1
pos_84,0.2,0.333333,0.2,0.066667,0.2,1
pos_85,0.25,0.0,0.083333,0.333333,0.333333,1
pos_86,0.388889,0.166667,0.111111,0.111111,0.222222,1
pos_87,0.5,0.0,0.05,0.0,0.45,1
pos_88,0.421053,0.052632,0.105263,0.0,0.421053,1
pos_89,0.277778,0.055556,0.111111,0.055556,0.5,1
pos_90,0.529412,0.058824,0.117647,0.117647,0.176471,1
pos_91,0.375,0.0625,0.0625,0.125,0.375,1
pos_92,0.307692,0.230769,0.0,0.0,0.461538,1
pos_93,0.4,0.066667,0.2,0.0,0.333333,1
pos_94,0.5,0.1,0.05,0.15,0.2,1
pos_95,1.0,0.0,0.0,0.0,0.0,1
pos_96,0.4,0.066667,0.133333,0.066667,0.333333,1
pos_97,0.416667,0.083333,0.166667,0.0,0.333333,1
pos_98,0.25,0.2,0.05,0.05,0.45,1
pos_99,0.4,0.2,0.1,0.05,0.25,1
pos_100,0.333333,0.0,0.266667,0.133333,0.266667,1
pos_101,0.6,0.0,0.133333,0.066667,0.2,1
pos_102,0.1,0.15,0.05,0.15,0.55,1
pos_103,0.866667,0.0,0.0,0.0,0.133333,1
pos_104,0.258065,0.129032,0.193548,0.064516,0.354839,1
pos_105,0.4375,0.0,0.1875,0.1875,0.1875,1
pos_106,0.272727,0.0,0.363636,0.181818,0.181818,1
pos_107,0.285714,0.047619,0.142857,0.095238,0.428571,1
pos_108,0.222222,0.055556,0.055556,0.111111,0.555556,1
pos_109,0.384615,0.153846,0.076923,0.153846,0.230769,1
pos_110,0.466667,0.0,0.266667,0.0,0.266667,1
pos_111,0.388889,0.111111,0.0,0.111111,0.388889,1
pos_112,0.5,0.0625,0.0625,0.0,0.375,1
pos_113,0.285714,0.142857,0.214286,0.071429,0.285714,1
pos_114,0.538462,0.153846,0.153846,0.076923,0.076923,1
pos_115,0.444444,0.0,0.222222,0.0,0.333333,1
pos_116,0.357143,0.119048,0.142857,0.238095,0.142857,1
pos_117,0.380952,0.142857,0.142857,0.047619,0.285714,1
pos_118,0.466667,0.0,0.133333,0.0,0.4,1
pos_119,0.375,0.083333,0.25,0.083333,0.208333,1
pos_120,0.2,0.066667,0.333333,0.133333,0.266667,1
pos_121,0.210526,0.157895,0.157895,0.157895,0.315789,1
pos_122,0.466667,0.0,0.133333,0.2,0.2,1
pos_123,0.393939,0.151515,0.090909,0.060606,0.30303,1
pos_124,0.333333,0.0,0.266667,0.133333,0.266667,1
pos_125,0.375,0.125,0.0625,0.25,0.1875,1
pos_126,0.35,0.15,0.25,0.15,0.1,1
pos_127,0.583333,0.083333,0.25,0.083333,0.0,1
pos_128,0.3,0.15,0.1,0.2,0.25,1
pos_129,0.416667,0.166667,0.166667,0.083333,0.166667,1
pos_130,0.45,0.15,0.0,0.05,0.35,1
pos_131,0.266667,0.2,0.133333,0.066667,0.333333,1
pos_132,0.333333,0.142857,0.095238,0.095238,0.333333,1
pos_133,0.333333,0.2,0.066667,0.2,0.2,1
pos_134,0.210526,0.157895,0.052632,0.105263,0.473684,1
pos_135,0.416667,0.083333,0.25,0.166667,0.083333,1
pos_136,0.2,0.133333,0.2,0.0,0.466667,1
pos_137,0.266667,0.133333,0.066667,0.133333,0.4,1
pos_138,0.05,0.0,0.2,0.15,0.6,1
pos_139,0.2,0.2,0.2,0.2,0.2,1
pos_140,0.333333,0.0,0.266667,0.066667,0.333333,1
pos_141,0.333333,0.111111,0.222222,0.111111,0.222222,1
pos_142,0.583333,0.0,0.041667,0.041667,0.333333,1
pos_143,0.333333,0.066667,0.266667,0.0,0.333333,1
pos_144,0.5,0.0,0.0625,0.0,0.4375,1
pos_145,0.588235,0.0,0.294118,0.058824,0.058824,1
pos_146,0.5,0.1,0.0,0.0,0.4,1
pos_147,0.444444,0.111111,0.222222,0.111111,0.111111,1
pos_148,0.25,0.083333,0.333333,0.333333,0.0,1
pos_149,0.266667,0.066667,0.066667,0.133333,0.466667,1
pos_150,0.315789,0.210526,0.210526,0.0,0.263158,1
pos_151,0.4,0.1,0.15,0.05,0.3,1
pos_152,0.35,0.05,0.15,0.3,0.15,1
pos_153,0.615385,0.076923,0.230769,0.0,0.076923,1
pos_154,0.409091,0.090909,0.227273,0.0,0.272727,1
pos_155,0.2,0.066667,0.2,0.2,0.333333,1
pos_156,0.333333,0.0,0.133333,0.333333,0.2,1
pos_157,0.35,0.05,0.15,0.1,0.35,1
pos_158,0.1875,0.125,0.0625,0.1875,0.4375,1
pos_159,0.2,0.333333,0.066667,0.066667,0.333333,1
pos_160,0.533333,0.0,0.2,0.066667,0.2,1
pos_161,0.25,0.05,0.25,0.05,0.4,1
pos_162,0.277778,0.333333,0.055556,0.055556,0.277778,1
pos_163,0.357143,0.0,0.285714,0.071429,0.285714,1
pos_164,0.6,0.0,0.15,0.0,0.25,1
pos_165,0.125,0.25,0.125,0.125,0.375,1
pos_166,0.533333,0.133333,0.133333,0.133333,0.066667,1
pos_167,0.2,0.2,0.133333,0.133333,0.333333,1
pos_168,0.4,0.0,0.2,0.133333,0.266667,1
pos_169,0.333333,0.133333,0.266667,0.066667,0.2,1
pos_170,0.285714,0.142857,0.214286,0.0,0.357143,1
pos_171,0.666667,0.066667,0.066667,0.2,0.0,1
pos_172,0.133333,0.066667,0.4,0.133333,0.266667,1
pos_173,0.333333,0.133333,0.133333,0.066667,0.333333,1
pos_174,0.388889,0.111111,0.166667,0.111111,0.222222,1
pos_175,0.388889,0.166667,0.222222,0.055556,0.166667,1
pos_176,0.4,0.0,0.333333,0.2,0.066667,1
pos_177,0.133333,0.133333,0.133333,0.133333,0.466667,1
pos_178,0.333333,0.166667,0.055556,0.055556,0.388889,1
pos_179,0.25,0.0,0.0,0.5,0.25,1
pos_180,0.529412,0.235294,0.0,0.117647,0.117647,1
pos_181,0.333333,0.166667,0.0,0.166667,0.333333,1
pos_182,0.4,0.066667,0.133333,0.266667,0.133333,1
pos_183,0.444444,0.0,0.166667,0.055556,0.333333,1
pos_184,0.4,0.2,0.2,0.066667,0.133333,1
pos_185,0.466667,0.0,0.266667,0.0,0.266667,1
pos_186,0.533333,0.0,0.066667,0.066667,0.333333,1
pos_187,0.45,0.05,0.05,0.15,0.3,1
pos_188,0.444444,0.166667,0.111111,0.055556,0.222222,1
pos_189,0.6875,0.0,0.0,0.0625,0.25,1
pos_190,0.35,0.0,0.05,0.3,0.3,1
pos_191,0.45,0.0,0.15,0.05,0.35,1
pos_192,0.533333,0.0,0.066667,0.066667,0.333333,1
pos_193,0.277778,0.0,0.222222,0.111111,0.388889,1
pos_194,0.333333,0.133333,0.2,0.2,0.133333,1
pos_195,0.4,0.066667,0.133333,0.2,0.2,1
pos_196,0.166667,0.083333,0.25,0.25,0.25,1
pos_197,0.333333,0.133333,0.066667,0.2,0.266667,1
pos_198,0.3125,0.0,0.125,0.25,0.3125,1
pos_199,0.583333,0.0,0.0,0.166667,0.25,1
pos_200,0.266667,0.133333,0.133333,0.133333,0.333333,1
pos_201,0.3,0.1,0.15,0.15,0.3,1
pos_202,0.555556,0.0,0.0,0.111111,0.333333,1
pos_203,0.2,0.1,0.4,0.15,0.15,1
pos_204,0.733333,0.133333,0.066667,0.0,0.066667,1
pos_205,0.45,0.2,0.05,0.1,0.2,1
pos_206,0.266667,0.2,0.133333,0.0,0.4,1
pos_207,0.666667,0.0,0.066667,0.133333,0.133333,1
pos_208,0.3,0.15,0.25,0.1,0.2,1
pos_209,0.45,0.05,0.05,0.25,0.2,1
pos_210,0.35,0.1,0.1,0.3,0.15,1
pos_211,0.5,0.1875,0.0,0.125,0.1875,1
pos_212,0.3,0.05,0.15,0.3,0.2,1
pos_213,0.15,0.0,0.15,0.35,0.35,1
pos_214,0.333333,0.222222,0.111111,0.055556,0.277778,1
pos_215,0.333333,0.266667,0.133333,0.0,0.266667,1
pos_216,0.3,0.1,0.1,0.1,0.4,1
pos_217,0.4,0.2,0.05,0.05,0.3,1
pos_218,0.8,0.133333,0.066667,0.0,0.0,1
pos_219,0.36,0.12,0.04,0.12,0.36,1
pos_220,0.454545,0.090909,0.090909,0.181818,0.181818,1
pos_221,0.375,0.0625,0.125,0.125,0.3125,1
pos_222,0.388889,0.055556,0.222222,0.055556,0.277778,1
pos_223,0.4,0.133333,0.0,0.266667,0.2,1
pos_224,0.466667,0.066667,0.133333,0.2,0.133333,1
pos_225,0.1,0.05,0.1,0.25,0.5,1
pos_226,0.391304,0.043478,0.173913,0.043478,0.347826,1
pos_227,0.347826,0.173913,0.217391,0.086957,0.173913,1
pos_228,0.2,0.05,0.1,0.15,0.5,1
pos_229,0.230769,0.0,0.076923,0.153846,0.538462,1
pos_230,0.529412,0.0,0.176471,0.117647,0.176471,1
pos_231,0.5,0.05,0.1,0.1,0.25,1
pos_232,0.333333,0.0,0.133333,0.266667,0.266667,1
pos_233,0.466667,0.0,0.2,0.2,0.133333,1
pos_234,0.5,0.25,0.0625,0.0,0.1875,1
pos_235,0.294118,0.117647,0.235294,0.0,0.352941,1
pos_236,0.4,0.05,0.15,0.1,0.3,1
pos_237,0.388889,0.222222,0.0,0.166667,0.222222,1
pos_238,0.533333,0.2,0.0,0.0,0.266667,1
pos_239,0.466667,0.2,0.066667,0.133333,0.133333,1
pos_240,0.45,0.05,0.05,0.15,0.3,1
pos_241,0.266667,0.066667,0.266667,0.2,0.2,1
pos_242,0.3,0.25,0.1,0.05,0.3,1
pos_243,0.473684,0.105263,0.210526,0.052632,0.157895,1
pos_244,0.380952,0.0,0.095238,0.142857,0.380952,1
pos_245,0.444444,0.111111,0.111111,0.166667,0.166667,1
pos_246,0.47619,0.142857,0.095238,0.047619,0.238095,1
pos_247,0.222222,0.166667,0.166667,0.222222,0.222222,1
pos_248,0.5,0.055556,0.111111,0.055556,0.277778,1
pos_249,0.5,0.0,0.166667,0.166667,0.166667,1
pos_250,0.333333,0.066667,0.133333,0.4,0.066667,1
pos_251,0.55,0.05,0.1,0.1,0.2,1
pos_252,0.6,0.0,0.133333,0.0,0.266667,1
pos_253,0.5,0.0,0.111111,0.0,0.388889,1
pos_254,0.285714,0.047619,0.095238,0.047619,0.52381,1
pos_255,0.6,0.066667,0.066667,0.133333,0.133333,1
pos_256,0.26087,0.0,0.086957,0.434783,0.217391,1
pos_257,0.666667,0.0,0.095238,0.047619,0.190476,1
pos_258,0.4375,0.0625,0.25,0.0625,0.1875,1
pos_259,0.24,0.12,0.0,0.08,0.56,1
pos_260,0.533333,0.0,0.0,0.2,0.266667,1
pos_261,0.352941,0.117647,0.0,0.117647,0.411765,1
pos_262,0.333333,0.2,0.133333,0.066667,0.266667,1
pos_263,0.4,0.12,0.04,0.08,0.36,1
pos_264,0.352941,0.176471,0.235294,0.0,0.235294,1
pos_265,0.2,0.15,0.15,0.0,0.5,1
pos_266,0.625,0.0,0.0,0.1875,0.1875,1
pos_267,0.4375,0.0,0.0,0.125,0.4375,1
pos_268,0.4,0.0,0.266667,0.133333,0.2,1
pos_269,0.6,0.0,0.066667,0.133333,0.2,1
pos_270,0.333333,0.083333,0.194444,0.222222,0.166667,1
pos_271,0.25,0.05,0.2,0.1,0.4,1
pos_272,0.210526,0.263158,0.157895,0.105263,0.263158,1
pos_273,0.382353,0.088235,0.176471,0.294118,0.058824,1
pos_274,0.5,0.166667,0.166667,0.0,0.166667,1
pos_275,0.45,0.2,0.15,0.05,0.15,1
pos_276,0.458333,0.166667,0.125,0.083333,0.166667,1
pos_277,0.466667,0.066667,0.0,0.0,0.466667,1
pos_278,0.5,0.15,0.1,0.15,0.1,1
pos_279,0.35,0.1,0.2,0.15,0.2,1
pos_280,0.2,0.066667,0.0,0.066667,0.666667,1
pos_281,0.466667,0.066667,0.0,0.133333,0.333333,1
pos_282,0.733333,0.066667,0.066667,0.0,0.133333,1
pos_283,0.4,0.1,0.1,0.1,0.3,1
pos_284,0.3,0.05,0.3,0.1,0.25,1
pos_285,0.315789,0.105263,0.157895,0.052632,0.368421,1
pos_286,0.666667,0.0,0.066667,0.066667,0.2,1
pos_287,0.416667,0.083333,0.083333,0.083333,0.333333,1
pos_288,0.5,0.166667,0.083333,0.0,0.25,1
pos_289,0.444444,0.055556,0.111111,0.055556,0.333333,1
pos_290,0.315789,0.105263,0.052632,0.052632,0.473684,1
pos_291,0.411765,0.117647,0.0,0.176471,0.294118,1
pos_292,0.466667,0.2,0.0,0.0,0.333333,1
pos_293,0.266667,0.2,0.0,0.133333,0.4,1
pos_294,0.4,0.0,0.133333,0.266667,0.2,1
pos_295,0.2,0.0,0.2,0.133333,0.466667,1
pos_296,0.4,0.2,0.066667,0.066667,0.266667,1
pos_297,0.333333,0.166667,0.111111,0.166667,0.222222,1
pos_298,0.263158,0.210526,0.105263,0.210526,0.210526,1
pos_299,0.25,0.1,0.15,0.1,0.4,1
pos_300,0.818182,0.0,0.045455,0.0,0.136364,1
pos_301,0.2,0.0,0.266667,0.0,0.533333,1
pos_302,0.277778,0.055556,0.222222,0.166667,0.277778,1
pos_303,0.44,0.04,0.32,0.0,0.2,1
pos_304,0.6,0.0,0.066667,0.2,0.133333,1
pos_305,0.5,0.0,0.0,0.25,0.25,1
pos_306,0.45,0.1,0.15,0.0,0.3,1
pos_307,0.416667,0.166667,0.083333,0.166667,0.166667,1
pos_308,0.352941,0.0,0.176471,0.0,0.470588,1
pos_309,0.4,0.133333,0.066667,0.133333,0.266667,1
pos_310,0.25,0.05,0.05,0.2,0.45,1
pos_311,0.4,0.0,0.133333,0.2,0.266667,1
pos_312,0.266667,0.2,0.2,0.0,0.333333,1
pos_313,0.470588,0.058824,0.0,0.117647,0.352941,1
pos_314,0.125,0.0,0.25,0.1875,0.4375,1
pos_315,0.2,0.0,0.2,0.2,0.4,1
pos_316,0.25,0.05,0.15,0.15,0.4,1
pos_317,0.333333,0.083333,0.166667,0.166667,0.25,1
pos_318,0.238095,0.190476,0.047619,0.095238,0.428571,1
pos_319,0.107143,0.107143,0.035714,0.071429,0.678571,1
pos_320,0.578947,0.052632,0.157895,0.052632,0.157895,1
pos_321,0.230769,0.076923,0.153846,0.230769,0.307692,1
pos_322,0.4,0.133333,0.066667,0.133333,0.266667,1
pos_323,0.45,0.1,0.15,0.05,0.25,1
pos_324,0.25,0.05,0.15,0.3,0.25,1
pos_325,0.4,0.066667,0.133333,0.066667,0.333333,1
pos_326,0.380952,0.142857,0.190476,0.095238,0.190476,1
pos_327,0.4,0.0,0.2,0.266667,0.133333,1
pos_328,0.75,0.083333,0.083333,0.0,0.083333,1
pos_329,0.666667,0.0,0.111111,0.0,0.222222,1
pos_330,0.444444,0.0,0.055556,0.277778,0.222222,1
pos_331,0.5,0.0625,0.125,0.25,0.0625,1
pos_332,0.368421,0.105263,0.0,0.105263,0.421053,1
pos_333,0.5,0.0,0.166667,0.166667,0.166667,1
pos_334,0.307692,0.076923,0.230769,0.0,0.384615,1
pos_335,0.315789,0.105263,0.263158,0.105263,0.210526,1
pos_336,0.6,0.05,0.1,0.0,0.25,1
pos_337,0.391304,0.195652,0.065217,0.086957,0.26087,1
pos_338,0.25,0.083333,0.166667,0.0,0.5,1
pos_339,0.411765,0.058824,0.117647,0.117647,0.294118,1
pos_340,0.466667,0.0,0.133333,0.133333,0.266667,1
pos_341,0.333333,0.2,0.066667,0.133333,0.266667,1
pos_342,0.384615,0.076923,0.153846,0.153846,0.230769,1
pos_343,0.5625,0.0625,0.0625,0.0,0.3125,1
pos_344,0.2,0.266667,0.133333,0.066667,0.333333,1
pos_345,0.133333,0.2,0.2,0.133333,0.333333,1
pos_346,0.5,0.25,0.166667,0.083333,0.0,1
pos_347,0.2,0.15,0.15,0.1,0.4,1
pos_348,0.555556,0.166667,0.166667,0.0,0.111111,1
pos_349,0.388889,0.111111,0.222222,0.055556,0.222222,1
pos_350,0.45,0.1,0.1,0.1,0.25,1
pos_351,0.26087,0.0,0.086957,0.26087,0.391304,1
pos_352,0.388889,0.055556,0.055556,0.333333,0.166667,1
pos_353,0.457143,0.0,0.428571,0.057143,0.057143,1
pos_354,0.384615,0.0,0.153846,0.230769,0.230769,1
pos_355,0.631579,0.052632,0.210526,0.0,0.105263,1
pos_356,0.25,0.083333,0.166667,0.083333,0.416667,1
pos_357,0.2,0.133333,0.4,0.066667,0.2,1
pos_358,0.47619,0.095238,0.047619,0.095238,0.285714,1
pos_359,0.44,0.0,0.08,0.08,0.4,1
pos_360,0.428571,0.142857,0.214286,0.071429,0.142857,1
pos_361,0.352941,0.235294,0.058824,0.058824,0.294118,1
pos_362,0.3,0.0,0.45,0.2,0.05,1
pos_363,0.210526,0.157895,0.105263,0.052632,0.473684,1
pos_364,0.466667,0.0,0.133333,0.266667,0.133333,1
pos_365,0.466667,0.0,0.0,0.066667,0.466667,1
pos_366,0.466667,0.0,0.066667,0.133333,0.333333,1
pos_367,0.4,0.05,0.1,0.25,0.2,1
pos_368,0.333333,0.083333,0.166667,0.166667,0.25,1
pos_369,0.533333,0.0,0.0,0.133333,0.333333,1
pos_370,0.35,0.1,0.15,0.2,0.2,1
pos_371,0.4,0.1,0.1,0.1,0.3,1
pos_372,0.533333,0.066667,0.066667,0.133333,0.2,1
pos_373,0.529412,0.117647,0.058824,0.0,0.294118,1
pos_374,0.368421,0.105263,0.157895,0.052632,0.315789,1
pos_375,0.454545,0.181818,0.0,0.181818,0.181818,1
pos_376,0.4,0.133333,0.2,0.0,0.266667,1
pos_377,0.2,0.0,0.2,0.15,0.45,1
pos_378,0.266667,0.066667,0.266667,0.133333,0.266667,1
pos_379,0.380952,0.238095,0.285714,0.0,0.095238,1
pos_380,0.153846,0.153846,0.153846,0.205128,0.333333,1
pos_381,0.4,0.0,0.4,0.0,0.2,1
pos_382,0.461538,0.153846,0.076923,0.153846,0.153846,1
pos_383,0.35,0.1,0.2,0.05,0.3,1
pos_384,0.466667,0.0,0.0,0.133333,0.4,1
pos_385,0.333333,0.083333,0.083333,0.083333,0.416667,1
pos_386,0.25,0.2,0.15,0.15,0.25,1
pos_387,0.45,0.1,0.1,0.15,0.2,1
pos_388,0.35,0.15,0.25,0.2,0.05,1
pos_389,0.5,0.0,0.071429,0.357143,0.071429,1
pos_390,0.235294,0.0,0.0,0.117647,0.647059,1
pos_391,0.4,0.066667,0.066667,0.2,0.266667,1
pos_392,0.375,0.125,0.1875,0.1875,0.125,1
pos_393,0.388889,0.0,0.111111,0.166667,0.333333,1
pos_394,0.333333,0.066667,0.2,0.2,0.2,1
pos_395,0.533333,0.066667,0.0,0.066667,0.333333,1
pos_396,0.45,0.05,0.1,0.2,0.2,1
pos_397,0.466667,0.133333,0.133333,0.066667,0.2,1
pos_398,0.4,0.066667,0.0,0.066667,0.466667,1
pos_399,0.6,0.066667,0.2,0.066667,0.066667,1
pos_400,0.5,0.111111,0.111111,0.055556,0.222222,1
pos_401,0.266667,0.133333,0.4,0.066667,0.133333,1
pos_402,0.266667,0.133333,0.2,0.066667,0.333333,1
pos_403,0.375,0.125,0.1875,0.125,0.1875,1
pos_404,0.4,0.2,0.266667,0.133333,0.0,1
pos_405,0.416667,0.0,0.166667,0.166667,0.25,1
pos_406,0.4,0.05,0.2,0.0,0.35,1
pos_407,0.533333,0.066667,0.2,0.0,0.2,1
pos_408,0.4,0.066667,0.2,0.0,0.333333,1
pos_409,0.25,0.0,0.05,0.3,0.4,1
pos_410,0.409091,0.0,0.090909,0.272727,0.227273,1
pos_411,0.416667,0.166667,0.083333,0.083333,0.25,1
pos_412,0.344828,0.034483,0.137931,0.103448,0.37931,1
pos_413,0.266667,0.0,0.133333,0.266667,0.333333,1
pos_414,0.470588,0.058824,0.058824,0.117647,0.294118,1
pos_415,0.380952,0.285714,0.047619,0.095238,0.190476,1
pos_416,0.272727,0.045455,0.318182,0.181818,0.181818,1
pos_417,0.333333,0.166667,0.166667,0.083333,0.25,1
pos_418,0.375,0.125,0.0,0.125,0.375,1
pos_419,0.416667,0.0,0.083333,0.166667,0.333333,1
pos_420,0.45,0.05,0.05,0.1,0.35,1
pos_421,0.315789,0.157895,0.263158,0.052632,0.210526,1
pos_422,0.25,0.25,0.083333,0.166667,0.25,1
pos_423,0.392857,0.071429,0.071429,0.107143,0.357143,1
pos_424,0.5,0.05,0.3,0.0,0.15,1
pos_425,0.1,0.15,0.4,0.25,0.1,1
pos_426,0.3,0.1,0.2,0.1,0.3,1
pos_427,0.37037,0.037037,0.296296,0.0,0.296296,1
pos_428,0.444444,0.055556,0.111111,0.111111,0.277778,1
pos_429,0.354839,0.064516,0.193548,0.225806,0.16129,1
pos_430,0.421053,0.157895,0.105263,0.052632,0.263158,1
pos_431,0.2,0.066667,0.066667,0.133333,0.533333,1
pos_432,0.45,0.1,0.15,0.05,0.25,1
pos_433,0.1,0.0,0.1,0.1,0.7,1
pos_434,0.222222,0.333333,0.055556,0.111111,0.277778,1
pos_435,0.4,0.133333,0.2,0.133333,0.133333,1
pos_436,0.411765,0.0,0.058824,0.058824,0.470588,1
pos_437,0.333333,0.2,0.0,0.066667,0.4,1
pos_438,0.466667,0.066667,0.2,0.066667,0.2,1
pos_439,0.25,0.05,0.25,0.05,0.4,1
pos_440,0.307692,0.076923,0.076923,0.230769,0.307692,1
pos_441,0.352941,0.0,0.352941,0.117647,0.176471,1
pos_442,0.533333,0.066667,0.2,0.066667,0.133333,1
pos_443,0.4,0.1,0.15,0.0,0.35,1
pos_444,0.466667,0.133333,0.133333,0.133333,0.133333,1
pos_445,0.545455,0.090909,0.181818,0.0,0.181818,1
pos_446,0.45,0.2,0.15,0.1,0.1,1
pos_447,0.533333,0.066667,0.2,0.133333,0.066667,1
pos_448,0.625,0.0,0.1875,0.0625,0.125,1
pos_449,0.35,0.05,0.15,0.05,0.4,1
pos_450,0.266667,0.133333,0.133333,0.2,0.266667,1
pos_451,0.4,0.0,0.133333,0.0,0.466667,1
pos_452,0.466667,0.066667,0.133333,0.0,0.333333,1
pos_453,0.1875,0.1875,0.0,0.125,0.5,1
pos_454,0.588235,0.058824,0.235294,0.0,0.117647,1
pos_455,0.55,0.05,0.1,0.1,0.2,1
pos_456,0.541667,0.083333,0.083333,0.083333,0.208333,1
pos_457,0.25,0.0,0.2,0.1,0.45,1
pos_458,0.466667,0.0,0.2,0.066667,0.266667,1
pos_459,0.315789,0.0,0.210526,0.0,0.473684,1
pos_460,0.222222,0.333333,0.055556,0.111111,0.277778,1
pos_461,0.666667,0.066667,0.133333,0.066667,0.066667,1
pos_462,0.416667,0.0,0.25,0.166667,0.166667,1
pos_463,0.555556,0.0,0.055556,0.277778,0.111111,1
