seq_id,CTDC_Hydrophobicity_G1,CTDC_Hydrophobicity_G2,CTDC_Hydrophobicity_G3,CTDC_VanDerWaals_G1,CTDC_VanDerWaals_G2,CTDC_VanDerWaals_G3,CTDC_Polarity_G1,CTDC_Polarity_G2,CTDC_Polarity_G3,CTDC_Polarizability_G1,CTDC_Polarizability_G2,CTDC_Polarizability_G3,CTDC_Charge_G1,CTDC_Charge_G2,CTDC_Charge_G3,CTDC_SecondaryStructure_G1,CTDC_SecondaryStructure_G2,CTDC_SecondaryStructure_G3,CTDC_SolventAccessibility_G1,CTDC_SolventAccessibility_G2,CTDC_SolventAccessibility_G3,label
pos_28,0.307692,0.346154,0.346154,0.384615,0.384615,0.230769,0.346154,0.346154,0.307692,0.384615,0.384615,0.230769,0.153846,0.730769,0.115385,0.230769,0.538462,0.230769,0.384615,0.307692,0.307692,1
pos_29,0.15,0.5,0.35,0.45,0.4,0.15,0.4,0.45,0.15,0.4,0.45,0.15,0.05,0.95,0.0,0.4,0.3,0.3,0.65,0.15,0.2,1
pos_30,0.333333,0.333333,0.333333,0.388889,0.444444,0.166667,0.388889,0.277778,0.333333,0.388889,0.444444,0.166667,0.0,0.777778,0.222222,0.277778,0.333333,0.388889,0.388889,0.333333,0.277778,1
pos_31,0.190476,0.190476,0.619048,0.190476,0.571429,0.238095,0.619048,0.190476,0.190476,0.142857,0.619048,0.238095,0.142857,0.857143,0.0,0.666667,0.142857,0.190476,0.619048,0.190476,0.190476,1
pos_32,0.266667,0.466667,0.266667,0.4,0.266667,0.333333,0.4,0.333333,0.266667,0.4,0.266667,0.333333,0.2,0.733333,0.066667,0.466667,0.333333,0.2,0.533333,0.266667,0.2,1
pos_33,0.333333,0.2,0.466667,0.2,0.4,0.4,0.466667,0.133333,0.4,0.133333,0.466667,0.4,0.266667,0.666667,0.066667,0.533333,0.333333,0.133333,0.6,0.333333,0.066667,1
pos_34,0.315789,0.368421,0.315789,0.315789,0.263158,0.421053,0.368421,0.315789,0.315789,0.263158,0.315789,0.421053,0.263158,0.736842,0.0,0.421053,0.315789,0.263158,0.368421,0.315789,0.315789,1
pos_35,0.5,0.35,0.15,0.4,0.4,0.2,0.15,0.35,0.5,0.35,0.45,0.2,0.2,0.75,0.05,0.3,0.3,0.4,0.25,0.5,0.25,1
pos_36,0.5,0.15,0.35,0.3,0.5,0.2,0.35,0.15,0.5,0.2,0.6,0.2,0.1,0.75,0.15,0.65,0.15,0.2,0.35,0.5,0.15,1
pos_37,0.333333,0.333333,0.333333,0.266667,0.466667,0.266667,0.4,0.266667,0.333333,0.2,0.533333,0.266667,0.066667,0.733333,0.2,0.533333,0.266667,0.2,0.4,0.333333,0.266667,1
pos_38,0.0,0.6,0.4,0.533333,0.333333,0.133333,0.4,0.533333,0.066667,0.4,0.466667,0.133333,0.0,1.0,0.0,0.2,0.4,0.4,0.533333,0.0,0.466667,1
pos_39,0.555556,0.277778,0.166667,0.333333,0.444444,0.222222,0.166667,0.277778,0.555556,0.333333,0.444444,0.222222,0.222222,0.555556,0.222222,0.722222,0.111111,0.166667,0.388889,0.555556,0.055556,1
pos_40,0.25,0.333333,0.416667,0.416667,0.5,0.083333,0.416667,0.333333,0.25,0.416667,0.5,0.083333,0.083333,0.833333,0.083333,0.5,0.25,0.25,0.583333,0.25,0.166667,1
pos_41,0.6,0.2,0.2,0.25,0.6,0.15,0.2,0.15,0.65,0.15,0.7,0.15,0.05,0.75,0.2,0.5,0.15,0.35,0.25,0.6,0.15,1
pos_42,0.357143,0.357143,0.285714,0.428571,0.571429,0.0,0.285714,0.357143,0.357143,0.428571,0.571429,0.0,0.0,0.785714,0.214286,0.571429,0.142857,0.285714,0.5,0.357143,0.142857,1
pos_43,0.375,0.25,0.375,0.3125,0.4375,0.25,0.375,0.25,0.375,0.25,0.5,0.25,0.125,0.625,0.25,0.5,0.3125,0.1875,0.5625,0.375,0.0625,1
pos_44,0.35,0.5,0.15,0.4,0.15,0.45,0.25,0.4,0.35,0.3,0.25,0.45,0.2,0.8,0.0,0.2,0.35,0.45,0.2,0.35,0.45,1
pos_45,0.2,0.6,0.2,0.533333,0.333333,0.133333,0.266667,0.533333,0.2,0.533333,0.333333,0.133333,0.066667,0.866667,0.066667,0.733333,0.266667,0.0,0.666667,0.2,0.133333,1
pos_46,0.25,0.3125,0.4375,0.375,0.5,0.125,0.4375,0.25,0.3125,0.375,0.5,0.125,0.0625,0.75,0.1875,0.3125,0.375,0.3125,0.5625,0.25,0.1875,1
pos_47,0.066667,0.6,0.333333,0.533333,0.333333,0.133333,0.333333,0.533333,0.133333,0.533333,0.333333,0.133333,0.0,1.0,0.0,0.2,0.4,0.4,0.533333,0.066667,0.4,1
pos_48,0.4,0.266667,0.333333,0.266667,0.466667,0.266667,0.4,0.2,0.4,0.066667,0.666667,0.266667,0.2,0.733333,0.066667,0.466667,0.333333,0.2,0.333333,0.4,0.266667,1
pos_49,0.352941,0.294118,0.352941,0.235294,0.411765,0.352941,0.411765,0.235294,0.352941,0.235294,0.411765,0.352941,0.294118,0.705882,0.0,0.529412,0.294118,0.176471,0.470588,0.352941,0.176471,1
pos_50,0.28125,0.40625,0.3125,0.40625,0.25,0.34375,0.3125,0.28125,0.40625,0.28125,0.375,0.34375,0.15625,0.78125,0.0625,0.5,0.21875,0.28125,0.5,0.28125,0.21875,1
pos_51,0.5,0.35,0.15,0.3,0.5,0.2,0.2,0.3,0.5,0.3,0.5,0.2,0.1,0.75,0.15,0.3,0.25,0.45,0.3,0.5,0.2,1
pos_52,0.333333,0.333333,0.333333,0.333333,0.266667,0.4,0.333333,0.333333,0.333333,0.333333,0.266667,0.4,0.266667,0.733333,0.0,0.666667,0.2,0.133333,0.6,0.333333,0.066667,1
pos_53,0.133333,0.666667,0.2,0.666667,0.133333,0.2,0.2,0.666667,0.133333,0.533333,0.266667,0.2,0.066667,0.866667,0.066667,0.266667,0.2,0.533333,0.666667,0.133333,0.2,1
pos_54,0.153846,0.461538,0.384615,0.461538,0.307692,0.230769,0.461538,0.384615,0.153846,0.384615,0.384615,0.230769,0.076923,0.846154,0.076923,0.307692,0.461538,0.230769,0.538462,0.153846,0.307692,1
pos_55,0.333333,0.4,0.266667,0.266667,0.4,0.333333,0.4,0.266667,0.333333,0.2,0.466667,0.333333,0.133333,0.733333,0.133333,0.533333,0.333333,0.133333,0.4,0.333333,0.266667,1
pos_56,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0.75,0.083333,0.5,0.416667,0.083333,0.583333,0.333333,0.083333,1
pos_57,0.388889,0.388889,0.222222,0.333333,0.333333,0.333333,0.388889,0.222222,0.388889,0.333333,0.333333,0.333333,0.166667,0.611111,0.222222,0.444444,0.277778,0.277778,0.333333,0.388889,0.277778,1
pos_58,0.3,0.3,0.4,0.3,0.45,0.25,0.45,0.2,0.35,0.25,0.5,0.25,0.05,0.8,0.15,0.4,0.25,0.35,0.55,0.3,0.15,1
pos_59,0.444444,0.111111,0.444444,0.166667,0.388889,0.444444,0.5,0.055556,0.444444,0.166667,0.388889,0.444444,0.222222,0.611111,0.166667,0.611111,0.222222,0.166667,0.388889,0.444444,0.166667,1
pos_60,0.266667,0.333333,0.4,0.2,0.266667,0.533333,0.4,0.2,0.4,0.2,0.266667,0.533333,0.266667,0.733333,0.0,0.6,0.333333,0.066667,0.466667,0.266667,0.266667,1
pos_61,0.333333,0.333333,0.333333,0.25,0.416667,0.333333,0.416667,0.25,0.333333,0.25,0.416667,0.333333,0.166667,0.666667,0.166667,0.5,0.5,0.0,0.416667,0.333333,0.25,1
pos_62,0.266667,0.533333,0.2,0.466667,0.466667,0.066667,0.2,0.466667,0.333333,0.4,0.533333,0.066667,0.0,0.866667,0.133333,0.4,0.2,0.4,0.466667,0.266667,0.266667,1
pos_63,0.4,0.066667,0.533333,0.133333,0.533333,0.333333,0.6,0.0,0.4,0.066667,0.6,0.333333,0.133333,0.666667,0.2,0.466667,0.4,0.133333,0.466667,0.4,0.133333,1
pos_64,0.25,0.7,0.05,0.7,0.05,0.25,0.1,0.65,0.25,0.6,0.15,0.25,0.15,0.8,0.05,0.3,0.2,0.5,0.45,0.25,0.3,1
pos_65,0.266667,0.6,0.133333,0.466667,0.2,0.333333,0.4,0.333333,0.266667,0.4,0.266667,0.333333,0.066667,0.8,0.133333,0.133333,0.466667,0.4,0.266667,0.266667,0.466667,1
pos_66,0.423077,0.307692,0.269231,0.307692,0.384615,0.307692,0.307692,0.269231,0.423077,0.230769,0.461538,0.307692,0.269231,0.653846,0.076923,0.461538,0.307692,0.230769,0.384615,0.423077,0.192308,1
pos_67,0.5,0.25,0.25,0.25,0.333333,0.416667,0.25,0.208333,0.541667,0.208333,0.375,0.416667,0.375,0.583333,0.041667,0.625,0.208333,0.166667,0.375,0.5,0.125,1
pos_68,0.466667,0.133333,0.4,0.2,0.466667,0.333333,0.4,0.133333,0.466667,0.133333,0.533333,0.333333,0.266667,0.666667,0.066667,0.466667,0.333333,0.2,0.4,0.466667,0.133333,1
pos_69,0.307692,0.423077,0.269231,0.346154,0.346154,0.307692,0.307692,0.346154,0.346154,0.346154,0.346154,0.307692,0.192308,0.807692,0.0,0.538462,0.192308,0.269231,0.423077,0.307692,0.269231,1
pos_70,0.055556,0.5,0.444444,0.388889,0.444444,0.166667,0.555556,0.333333,0.111111,0.333333,0.5,0.166667,0.0,1.0,0.0,0.222222,0.444444,0.333333,0.611111,0.055556,0.333333,1
pos_71,0.4,0.25,0.35,0.2,0.6,0.2,0.35,0.2,0.45,0.1,0.7,0.2,0.15,0.8,0.05,0.55,0.25,0.2,0.4,0.4,0.2,1
pos_72,0.2,0.6,0.2,0.466667,0.266667,0.266667,0.333333,0.466667,0.2,0.466667,0.266667,0.266667,0.066667,0.866667,0.066667,0.4,0.266667,0.333333,0.466667,0.2,0.333333,1
pos_73,0.333333,0.2,0.466667,0.266667,0.466667,0.266667,0.466667,0.2,0.333333,0.2,0.533333,0.266667,0.2,0.733333,0.066667,0.4,0.4,0.2,0.533333,0.333333,0.133333,1
pos_74,0.2,0.4,0.4,0.35,0.45,0.2,0.4,0.35,0.25,0.35,0.45,0.2,0.05,0.9,0.05,0.8,0.15,0.05,0.7,0.2,0.1,1
pos_75,0.142857,0.642857,0.214286,0.642857,0.285714,0.071429,0.214286,0.642857,0.142857,0.642857,0.285714,0.071429,0.071429,0.857143,0.071429,0.428571,0.142857,0.428571,0.5,0.142857,0.357143,1
pos_76,0.2,0.466667,0.333333,0.4,0.4,0.2,0.4,0.266667,0.333333,0.2,0.6,0.2,0.0,0.866667,0.133333,0.4,0.2,0.4,0.4,0.2,0.4,1
pos_77,0.3,0.55,0.15,0.5,0.15,0.35,0.15,0.5,0.35,0.5,0.15,0.35,0.25,0.7,0.05,0.5,0.25,0.25,0.45,0.3,0.25,1
pos_78,0.15,0.5,0.35,0.5,0.4,0.1,0.35,0.45,0.2,0.4,0.5,0.1,0.05,0.9,0.05,0.5,0.15,0.35,0.55,0.15,0.3,1
pos_79,0.384615,0.307692,0.307692,0.384615,0.307692,0.307692,0.307692,0.307692,0.384615,0.230769,0.461538,0.307692,0.153846,0.692308,0.153846,0.230769,0.307692,0.461538,0.307692,0.384615,0.307692,1
pos_80,0.266667,0.6,0.133333,0.6,0.333333,0.066667,0.133333,0.6,0.266667,0.6,0.333333,0.066667,0.066667,0.866667,0.066667,0.666667,0.2,0.133333,0.466667,0.266667,0.266667,1
pos_81,0.333333,0.428571,0.238095,0.380952,0.428571,0.190476,0.285714,0.380952,0.333333,0.333333,0.47619,0.190476,0.095238,0.809524,0.095238,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1
pos_82,0.3125,0.4375,0.25,0.3125,0.375,0.3125,0.375,0.3125,0.3125,0.25,0.4375,0.3125,0.125,0.8125,0.0625,0.375,0.4375,0.1875,0.4375,0.3125,0.25,1
pos_83,0.4375,0.125,0.4375,0.1875,0.5625,0.25,0.4375,0.0625,0.5,0.1875,0.5625,0.25,0.0625,0.625,0.3125,0.625,0.1875,0.1875,0.375,0.4375,0.1875,1
pos_84,0.266667,0.466667,0.266667,0.333333,0.066667,0.6,0.4,0.333333,0.266667,0.266667,0.133333,0.6,0.2,0.733333,0.066667,0.466667,0.333333,0.2,0.333333,0.266667,0.4,1
pos_85,0.416667,0.416667,0.166667,0.5,0.416667,0.083333,0.166667,0.333333,0.5,0.333333,0.583333,0.083333,0.0,0.666667,0.333333,0.333333,0.25,0.416667,0.25,0.416667,0.333333,1
pos_86,0.277778,0.277778,0.444444,0.222222,0.5,0.277778,0.5,0.222222,0.277778,0.222222,0.5,0.277778,0.111111,0.777778,0.111111,0.444444,0.388889,0.166667,0.5,0.277778,0.222222,1
pos_87,0.2,0.5,0.3,0.55,0.4,0.05,0.3,0.5,0.2,0.45,0.5,0.05,0.05,0.95,0.0,0.4,0.25,0.35,0.55,0.2,0.25,1
pos_88,0.105263,0.578947,0.315789,0.526316,0.210526,0.263158,0.315789,0.526316,0.157895,0.473684,0.263158,0.263158,0.052632,0.947368,0.0,0.368421,0.157895,0.473684,0.368421,0.105263,0.526316,1
pos_89,0.166667,0.5,0.333333,0.611111,0.222222,0.166667,0.388889,0.444444,0.166667,0.444444,0.388889,0.166667,0.111111,0.833333,0.055556,0.277778,0.388889,0.333333,0.388889,0.166667,0.444444,1
pos_90,0.176471,0.352941,0.470588,0.352941,0.470588,0.176471,0.529412,0.235294,0.235294,0.235294,0.588235,0.176471,0.058824,0.823529,0.117647,0.529412,0.294118,0.176471,0.647059,0.176471,0.176471,1
pos_91,0.3125,0.3125,0.375,0.4375,0.375,0.1875,0.375,0.3125,0.3125,0.375,0.4375,0.1875,0.0625,0.8125,0.125,0.3125,0.375,0.3125,0.4375,0.3125,0.25,1
pos_92,0.076923,0.538462,0.384615,0.384615,0.384615,0.230769,0.538462,0.384615,0.076923,0.153846,0.615385,0.230769,0.0,1.0,0.0,0.307692,0.384615,0.307692,0.384615,0.076923,0.538462,1
pos_93,0.266667,0.333333,0.4,0.266667,0.466667,0.266667,0.4,0.266667,0.333333,0.133333,0.6,0.266667,0.133333,0.866667,0.0,0.466667,0.333333,0.2,0.466667,0.266667,0.266667,1
pos_94,0.3,0.35,0.35,0.45,0.35,0.2,0.4,0.3,0.3,0.4,0.4,0.2,0.05,0.8,0.15,0.3,0.25,0.45,0.5,0.3,0.2,1
pos_95,0.0,0.428571,0.571429,0.428571,0.5,0.071429,0.571429,0.428571,0.0,0.428571,0.5,0.071429,0.0,1.0,0.0,0.285714,0.428571,0.285714,0.928571,0.0,0.071429,1
pos_96,0.333333,0.333333,0.333333,0.333333,0.466667,0.2,0.333333,0.333333,0.333333,0.266667,0.533333,0.2,0.133333,0.8,0.066667,0.466667,0.266667,0.266667,0.466667,0.333333,0.2,1
pos_97,0.083333,0.5,0.416667,0.333333,0.333333,0.333333,0.416667,0.333333,0.25,0.166667,0.5,0.333333,0.0,1.0,0.0,0.333333,0.333333,0.333333,0.416667,0.083333,0.5,1
pos_98,0.25,0.25,0.5,0.4,0.3,0.3,0.5,0.25,0.25,0.25,0.45,0.3,0.05,0.9,0.05,0.2,0.5,0.3,0.5,0.25,0.25,1
pos_99,0.15,0.45,0.4,0.5,0.15,0.35,0.4,0.45,0.15,0.4,0.25,0.35,0.1,0.85,0.05,0.45,0.3,0.25,0.55,0.15,0.3,1
pos_100,0.533333,0.266667,0.2,0.266667,0.4,0.333333,0.2,0.266667,0.533333,0.266667,0.4,0.333333,0.266667,0.6,0.133333,0.533333,0.266667,0.2,0.266667,0.533333,0.2,1
pos_101,0.2,0.266667,0.533333,0.266667,0.6,0.133333,0.533333,0.266667,0.2,0.133333,0.733333,0.133333,0.133333,0.8,0.066667,0.4,0.333333,0.266667,0.6,0.2,0.2,1
pos_102,0.3,0.45,0.25,0.6,0.2,0.2,0.3,0.35,0.35,0.4,0.4,0.2,0.0,0.85,0.15,0.2,0.35,0.45,0.35,0.3,0.35,1
pos_103,0.0,0.466667,0.533333,0.466667,0.533333,0.0,0.533333,0.466667,0.0,0.466667,0.533333,0.0,0.0,1.0,0.0,0.333333,0.333333,0.333333,0.866667,0.0,0.133333,1
pos_104,0.419355,0.387097,0.193548,0.290323,0.387097,0.322581,0.290323,0.258065,0.451613,0.225806,0.451613,0.322581,0.16129,0.774194,0.064516,0.419355,0.290323,0.290323,0.322581,0.419355,0.258065,1
pos_105,0.4375,0.25,0.3125,0.25,0.5625,0.1875,0.3125,0.25,0.4375,0.25,0.5625,0.1875,0.1875,0.625,0.1875,0.625,0.1875,0.1875,0.4375,0.4375,0.125,1
pos_106,0.636364,0.090909,0.272727,0.272727,0.363636,0.363636,0.272727,0.090909,0.636364,0.181818,0.454545,0.363636,0.363636,0.454545,0.181818,0.545455,0.090909,0.363636,0.272727,0.636364,0.090909,1
pos_107,0.285714,0.380952,0.333333,0.52381,0.238095,0.238095,0.333333,0.380952,0.285714,0.333333,0.428571,0.238095,0.142857,0.761905,0.095238,0.428571,0.285714,0.285714,0.428571,0.285714,0.285714,1
pos_108,0.222222,0.555556,0.222222,0.611111,0.222222,0.166667,0.222222,0.555556,0.222222,0.444444,0.388889,0.166667,0.055556,0.833333,0.111111,0.222222,0.333333,0.444444,0.222222,0.222222,0.555556,1
pos_109,0.153846,0.461538,0.384615,0.538462,0.230769,0.230769,0.384615,0.384615,0.230769,0.461538,0.307692,0.230769,0.0,0.846154,0.153846,0.230769,0.461538,0.307692,0.538462,0.153846,0.307692,1
pos_110,0.266667,0.466667,0.266667,0.4,0.333333,0.266667,0.266667,0.4,0.333333,0.333333,0.4,0.266667,0.2,0.8,0.0,0.6,0.133333,0.266667,0.466667,0.266667,0.266667,1
pos_111,0.277778,0.388889,0.333333,0.444444,0.444444,0.111111,0.388889,0.333333,0.277778,0.333333,0.555556,0.111111,0.0,0.888889,0.111111,0.222222,0.444444,0.333333,0.444444,0.277778,0.277778,1
pos_112,0.0625,0.625,0.3125,0.6875,0.1875,0.125,0.375,0.5625,0.0625,0.3125,0.5625,0.125,0.0625,0.9375,0.0,0.1875,0.375,0.4375,0.625,0.0625,0.3125,1
pos_113,0.357143,0.428571,0.214286,0.285714,0.357143,0.357143,0.285714,0.285714,0.428571,0.285714,0.357143,0.357143,0.142857,0.785714,0.071429,0.357143,0.357143,0.285714,0.357143,0.357143,0.285714,1
pos_114,0.230769,0.230769,0.538462,0.076923,0.615385,0.307692,0.615385,0.076923,0.307692,0.076923,0.615385,0.307692,0.076923,0.846154,0.076923,0.538462,0.384615,0.076923,0.615385,0.230769,0.153846,1
pos_115,0.388889,0.166667,0.444444,0.166667,0.555556,0.277778,0.444444,0.166667,0.388889,0.055556,0.666667,0.277778,0.222222,0.777778,0.0,0.5,0.277778,0.222222,0.388889,0.388889,0.222222,1
pos_116,0.404762,0.261905,0.333333,0.428571,0.261905,0.309524,0.333333,0.261905,0.404762,0.404762,0.285714,0.309524,0.142857,0.619048,0.238095,0.357143,0.309524,0.333333,0.428571,0.404762,0.166667,1
pos_117,0.285714,0.428571,0.285714,0.333333,0.333333,0.333333,0.380952,0.285714,0.333333,0.238095,0.428571,0.333333,0.095238,0.857143,0.047619,0.333333,0.333333,0.333333,0.380952,0.285714,0.333333,1
pos_118,0.266667,0.533333,0.2,0.533333,0.333333,0.133333,0.2,0.533333,0.266667,0.4,0.466667,0.133333,0.133333,0.866667,0.0,0.333333,0.266667,0.4,0.466667,0.266667,0.266667,1
pos_119,0.333333,0.458333,0.208333,0.375,0.25,0.375,0.291667,0.333333,0.375,0.375,0.25,0.375,0.208333,0.708333,0.083333,0.541667,0.375,0.083333,0.333333,0.333333,0.333333,1
pos_120,0.666667,0.066667,0.266667,0.066667,0.533333,0.4,0.266667,0.066667,0.666667,0.066667,0.533333,0.4,0.333333,0.533333,0.133333,0.666667,0.133333,0.2,0.266667,0.666667,0.066667,1
pos_121,0.473684,0.315789,0.210526,0.315789,0.368421,0.315789,0.263158,0.210526,0.526316,0.263158,0.421053,0.315789,0.105263,0.736842,0.157895,0.421053,0.263158,0.315789,0.315789,0.473684,0.210526,1
pos_122,0.333333,0.466667,0.2,0.6,0.266667,0.133333,0.2,0.4,0.4,0.6,0.266667,0.133333,0.066667,0.733333,0.2,0.466667,0.066667,0.466667,0.466667,0.333333,0.2,1
pos_123,0.333333,0.424242,0.242424,0.333333,0.424242,0.242424,0.363636,0.272727,0.363636,0.30303,0.454545,0.242424,0.060606,0.878788,0.060606,0.242424,0.393939,0.363636,0.424242,0.333333,0.242424,1
pos_124,0.4,0.4,0.2,0.4,0.333333,0.266667,0.2,0.4,0.4,0.133333,0.6,0.266667,0.266667,0.6,0.133333,0.666667,0.0,0.333333,0.333333,0.4,0.266667,1
pos_125,0.3125,0.5,0.1875,0.4375,0.375,0.1875,0.3125,0.375,0.3125,0.375,0.4375,0.1875,0.0625,0.6875,0.25,0.5,0.25,0.25,0.375,0.3125,0.3125,1
pos_126,0.45,0.15,0.4,0.15,0.35,0.5,0.5,0.05,0.45,0.15,0.35,0.5,0.25,0.6,0.15,0.5,0.35,0.15,0.3,0.45,0.25,1
