seq_id,CTDT_Hydrophobicity_G1G2,CTDT_Hydrophobicity_G1G3,CTDT_Hydrophobicity_G2G3,CTDT_VanDerWaals_G1G2,CTDT_VanDerWaals_G1G3,CTDT_VanDerWaals_G2G3,CTDT_Polarity_G1G2,CTDT_Polarity_G1G3,CTDT_Polarity_G2G3,CTDT_Polarizability_G1G2,CTDT_Polarizability_G1G3,CTDT_Polarizability_G2G3,CTDT_Charge_G1G2,CTDT_Charge_G1G3,CTDT_Charge_G2G3,CTDT_SecondaryStructure_G1G2,CTDT_SecondaryStructure_G1G3,CTDT_SecondaryStructure_G2G3,CTDT_SolventAccessibility_G1G2,CTDT_SolventAccessibility_G1G3,CTDT_SolventAccessibility_G2G3,label
pos_20,0.34375,0.15625,0.21875,0.3125,0.3125,0.1875,0.28125,0.15625,0.34375,0.28125,0.28125,0.21875,0.3125,0.0,0.0625,0.25,0.25,0.1875,0.375,0.3125,0.125,1
pos_21,0.421053,0.157895,0.210526,0.315789,0.315789,0.105263,0.210526,0.157895,0.315789,0.368421,0.263158,0.157895,0.157895,0.052632,0.315789,0.263158,0.263158,0.052632,0.210526,0.157895,0.368421,1
pos_22,0.3,0.266667,0.3,0.366667,0.233333,0.233333,0.3,0.266667,0.3,0.366667,0.233333,0.233333,0.333333,0.0,0.166667,0.3,0.333333,0.066667,0.466667,0.233333,0.1,1
pos_23,0.214286,0.142857,0.142857,0.357143,0.142857,0.214286,0.142857,0.142857,0.214286,0.357143,0.142857,0.214286,0.214286,0.0,0.142857,0.142857,0.285714,0.142857,0.285714,0.071429,0.071429,1
pos_24,0.142857,0.142857,0.285714,0.357143,0.214286,0.214286,0.428571,0.142857,0.142857,0.285714,0.142857,0.285714,0.142857,0.0,0.0,0.214286,0.142857,0.285714,0.142857,0.285714,0.142857,1
pos_25,0.076923,0.076923,0.384615,0.384615,0.461538,0.076923,0.769231,0.076923,0.076923,0.230769,0.384615,0.153846,0.0,0.0,0.0,0.615385,0.153846,0.076923,0.076923,0.384615,0.076923,1
pos_26,0.214286,0.214286,0.214286,0.357143,0.357143,0.071429,0.214286,0.214286,0.357143,0.357143,0.0,0.428571,0.142857,0.0,0.142857,0.071429,0.5,0.071429,0.357143,0.285714,0.071429,1
pos_27,0.315789,0.210526,0.368421,0.368421,0.210526,0.105263,0.368421,0.210526,0.315789,0.526316,0.052632,0.263158,0.210526,0.0,0.315789,0.315789,0.210526,0.157895,0.315789,0.368421,0.210526,1
pos_28,0.32,0.16,0.28,0.4,0.2,0.08,0.28,0.16,0.32,0.4,0.2,0.08,0.24,0.0,0.24,0.24,0.16,0.24,0.24,0.28,0.24,1
pos_29,0.210526,0.105263,0.315789,0.368421,0.157895,0.052632,0.368421,0.157895,0.157895,0.368421,0.157895,0.052632,0.105263,0.0,0.0,0.421053,0.157895,0.210526,0.210526,0.210526,0.105263,1
pos_30,0.117647,0.176471,0.411765,0.352941,0.235294,0.117647,0.411765,0.294118,0.0,0.352941,0.235294,0.117647,0.0,0.0,0.411765,0.294118,0.235294,0.294118,0.117647,0.294118,0.176471,1
pos_31,0.0,0.2,0.4,0.35,0.05,0.25,0.4,0.2,0.0,0.25,0.05,0.25,0.1,0.0,0.0,0.15,0.35,0.05,0.2,0.4,0.0,1
pos_32,0.214286,0.142857,0.357143,0.285714,0.142857,0.214286,0.214286,0.285714,0.071429,0.285714,0.142857,0.214286,0.285714,0.071429,0.071429,0.428571,0.285714,0.142857,0.142857,0.214286,0.214286,1
pos_33,0.142857,0.428571,0.142857,0.071429,0.071429,0.428571,0.142857,0.428571,0.0,0.142857,0.0,0.5,0.5,0.0,0.071429,0.357143,0.071429,0.071429,0.428571,0.0,0.142857,1
pos_34,0.277778,0.222222,0.277778,0.166667,0.277778,0.222222,0.222222,0.277778,0.222222,0.222222,0.222222,0.277778,0.388889,0.0,0.0,0.388889,0.277778,0.166667,0.277778,0.333333,0.222222,1
pos_35,0.157895,0.105263,0.210526,0.421053,0.052632,0.315789,0.210526,0.105263,0.157895,0.473684,0.052632,0.315789,0.368421,0.0,0.105263,0.105263,0.368421,0.210526,0.210526,0.315789,0.052632,1
pos_36,0.210526,0.368421,0.052632,0.263158,0.210526,0.157895,0.052632,0.368421,0.210526,0.210526,0.052632,0.315789,0.105263,0.052632,0.263158,0.315789,0.263158,0.0,0.421053,0.157895,0.157895,1
pos_37,0.214286,0.214286,0.214286,0.285714,0.285714,0.142857,0.357143,0.214286,0.214286,0.142857,0.285714,0.142857,0.142857,0.0,0.285714,0.357143,0.214286,0.214286,0.285714,0.142857,0.142857,1
pos_38,0.0,0.0,0.571429,0.428571,0.071429,0.142857,0.5,0.071429,0.0,0.571429,0.071429,0.142857,0.0,0.0,0.0,0.214286,0.142857,0.285714,0.0,0.285714,0.0,1
pos_39,0.470588,0.294118,0.058824,0.352941,0.176471,0.235294,0.058824,0.294118,0.470588,0.352941,0.176471,0.235294,0.352941,0.058824,0.294118,0.117647,0.235294,0.117647,0.647059,0.0,0.117647,1
pos_40,0.090909,0.272727,0.363636,0.454545,0.0,0.181818,0.363636,0.272727,0.090909,0.454545,0.0,0.181818,0.181818,0.0,0.181818,0.272727,0.181818,0.090909,0.363636,0.090909,0.0,1
pos_41,0.157895,0.315789,0.0,0.105263,0.052632,0.263158,0.0,0.315789,0.052632,0.052632,0.0,0.315789,0.052632,0.052632,0.368421,0.157895,0.315789,0.052632,0.315789,0.052632,0.157895,1
pos_42,0.230769,0.153846,0.384615,0.615385,0.0,0.0,0.384615,0.153846,0.230769,0.615385,0.0,0.0,0.0,0.0,0.307692,0.076923,0.538462,0.076923,0.307692,0.230769,0.076923,1
pos_43,0.333333,0.133333,0.2,0.266667,0.266667,0.133333,0.2,0.133333,0.333333,0.266667,0.266667,0.133333,0.2,0.066667,0.266667,0.2,0.266667,0.133333,0.333333,0.0,0.133333,1
pos_44,0.315789,0.052632,0.263158,0.105263,0.368421,0.052632,0.210526,0.105263,0.263158,0.105263,0.263158,0.157895,0.315789,0.0,0.0,0.157895,0.157895,0.315789,0.105263,0.315789,0.263158,1
pos_45,0.142857,0.142857,0.214286,0.357143,0.142857,0.142857,0.357143,0.142857,0.142857,0.357143,0.142857,0.142857,0.142857,0.0,0.142857,0.428571,0.0,0.0,0.285714,0.285714,0.0,1
pos_46,0.2,0.133333,0.333333,0.4,0.133333,0.066667,0.266667,0.2,0.133333,0.4,0.133333,0.066667,0.0,0.066667,0.333333,0.266667,0.333333,0.333333,0.2,0.266667,0.133333,1
pos_47,0.071429,0.071429,0.571429,0.5,0.071429,0.142857,0.5,0.142857,0.071429,0.5,0.071429,0.142857,0.0,0.0,0.0,0.142857,0.071429,0.357143,0.071429,0.571429,0.071429,1
pos_48,0.142857,0.214286,0.285714,0.285714,0.0,0.285714,0.214286,0.285714,0.071429,0.142857,0.0,0.285714,0.071429,0.071429,0.0,0.285714,0.214286,0.214286,0.214286,0.285714,0.142857,1
pos_49,0.125,0.3125,0.125,0.125,0.125,0.4375,0.125,0.3125,0.125,0.125,0.125,0.4375,0.4375,0.0,0.0,0.3125,0.25,0.0,0.375,0.1875,0.0625,1
pos_50,0.322581,0.096774,0.193548,0.225806,0.419355,0.193548,0.129032,0.16129,0.387097,0.225806,0.290323,0.322581,0.225806,0.064516,0.064516,0.193548,0.419355,0.032258,0.290323,0.193548,0.129032,1
pos_51,0.263158,0.210526,0.105263,0.157895,0.105263,0.210526,0.052632,0.263158,0.210526,0.157895,0.105263,0.210526,0.210526,0.0,0.263158,0.210526,0.263158,0.210526,0.368421,0.157895,0.105263,1
pos_52,0.142857,0.285714,0.285714,0.357143,0.071429,0.214286,0.285714,0.285714,0.142857,0.357143,0.071429,0.214286,0.428571,0.0,0.0,0.214286,0.214286,0.071429,0.357143,0.071429,0.071429,1
pos_53,0.214286,0.071429,0.285714,0.142857,0.357143,0.0,0.285714,0.071429,0.214286,0.357143,0.357143,0.0,0.142857,0.0,0.142857,0.142857,0.285714,0.214286,0.285714,0.214286,0.0,1
pos_54,0.166667,0.083333,0.333333,0.333333,0.083333,0.083333,0.416667,0.166667,0.083333,0.333333,0.083333,0.083333,0.166667,0.0,0.083333,0.5,0.0,0.25,0.083333,0.166667,0.166667,1
pos_55,0.285714,0.214286,0.214286,0.285714,0.214286,0.214286,0.357143,0.357143,0.142857,0.285714,0.071429,0.357143,0.285714,0.0,0.285714,0.428571,0.071429,0.142857,0.357143,0.142857,0.142857,1
pos_56,0.181818,0.272727,0.272727,0.272727,0.181818,0.454545,0.272727,0.272727,0.181818,0.272727,0.181818,0.454545,0.272727,0.0,0.181818,0.363636,0.090909,0.090909,0.454545,0.090909,0.0,1
pos_57,0.294118,0.176471,0.176471,0.294118,0.176471,0.176471,0.235294,0.352941,0.117647,0.294118,0.176471,0.176471,0.235294,0.117647,0.235294,0.294118,0.176471,0.176471,0.235294,0.058824,0.235294,1
pos_58,0.210526,0.210526,0.210526,0.368421,0.052632,0.263158,0.157895,0.263158,0.157895,0.421053,0.0,0.315789,0.105263,0.0,0.315789,0.210526,0.210526,0.210526,0.263158,0.052632,0.157895,1
pos_59,0.176471,0.411765,0.058824,0.235294,0.0,0.294118,0.0,0.470588,0.117647,0.235294,0.0,0.294118,0.117647,0.0,0.352941,0.235294,0.176471,0.058824,0.352941,0.117647,0.235294,1
pos_60,0.214286,0.285714,0.285714,0.142857,0.214286,0.428571,0.142857,0.428571,0.214286,0.142857,0.214286,0.428571,0.5,0.0,0.0,0.428571,0.071429,0.0,0.357143,0.214286,0.142857,1
pos_61,0.181818,0.363636,0.181818,0.272727,0.090909,0.363636,0.272727,0.454545,0.090909,0.272727,0.090909,0.363636,0.272727,0.0,0.272727,0.545455,0.0,0.0,0.363636,0.181818,0.181818,1
pos_62,0.214286,0.285714,0.142857,0.285714,0.071429,0.071429,0.142857,0.285714,0.214286,0.285714,0.071429,0.071429,0.0,0.0,0.285714,0.214286,0.285714,0.214286,0.357143,0.142857,0.142857,1
pos_63,0.0,0.428571,0.142857,0.214286,0.071429,0.5,0.0,0.428571,0.0,0.071429,0.071429,0.5,0.142857,0.0,0.285714,0.357143,0.071429,0.071429,0.357143,0.214286,0.071429,1
pos_64,0.315789,0.0,0.105263,0.105263,0.421053,0.0,0.105263,0.0,0.315789,0.210526,0.315789,0.105263,0.263158,0.052632,0.052632,0.0,0.421053,0.210526,0.157895,0.263158,0.157895,1
pos_65,0.214286,0.0,0.285714,0.142857,0.214286,0.214286,0.214286,0.071429,0.142857,0.214286,0.142857,0.285714,0.142857,0.0,0.071429,0.0,0.214286,0.428571,0.0,0.428571,0.214286,1
pos_66,0.24,0.12,0.16,0.4,0.16,0.12,0.24,0.12,0.24,0.24,0.16,0.12,0.16,0.04,0.12,0.24,0.2,0.12,0.2,0.16,0.16,1
pos_67,0.26087,0.26087,0.173913,0.26087,0.173913,0.173913,0.173913,0.26087,0.173913,0.304348,0.130435,0.217391,0.391304,0.043478,0.043478,0.26087,0.173913,0.086957,0.347826,0.086957,0.173913,1
pos_68,0.142857,0.428571,0.071429,0.071429,0.285714,0.428571,0.071429,0.428571,0.142857,0.0,0.214286,0.5,0.5,0.071429,0.071429,0.428571,0.285714,0.142857,0.428571,0.071429,0.142857,1
pos_69,0.32,0.24,0.24,0.24,0.24,0.24,0.28,0.28,0.2,0.24,0.24,0.24,0.4,0.0,0.0,0.24,0.28,0.08,0.28,0.16,0.28,1
pos_70,0.0,0.058824,0.529412,0.176471,0.117647,0.235294,0.352941,0.117647,0.058824,0.294118,0.117647,0.235294,0.0,0.0,0.0,0.294118,0.176471,0.411765,0.058824,0.470588,0.0,1
pos_71,0.421053,0.263158,0.105263,0.263158,0.157895,0.105263,0.105263,0.263158,0.315789,0.157895,0.052632,0.210526,0.263158,0.0,0.105263,0.368421,0.263158,0.052632,0.368421,0.105263,0.315789,1
pos_72,0.285714,0.0,0.428571,0.285714,0.285714,0.142857,0.428571,0.142857,0.142857,0.285714,0.285714,0.142857,0.142857,0.0,0.142857,0.214286,0.357143,0.071429,0.142857,0.214286,0.142857,1
pos_73,0.285714,0.214286,0.142857,0.428571,0.142857,0.214286,0.142857,0.214286,0.285714,0.357143,0.071429,0.285714,0.214286,0.0,0.142857,0.142857,0.357143,0.071429,0.285714,0.071429,0.214286,1
pos_74,0.052632,0.157895,0.263158,0.263158,0.157895,0.263158,0.263158,0.157895,0.157895,0.263158,0.157895,0.263158,0.105263,0.0,0.105263,0.263158,0.105263,0.0,0.210526,0.210526,0.0,1
pos_75,0.153846,0.153846,0.307692,0.384615,0.076923,0.076923,0.307692,0.153846,0.153846,0.384615,0.076923,0.076923,0.153846,0.0,0.153846,0.153846,0.461538,0.153846,0.230769,0.307692,0.076923,1
pos_76,0.142857,0.214286,0.5,0.357143,0.071429,0.357143,0.285714,0.428571,0.071429,0.214286,0.071429,0.357143,0.0,0.0,0.214286,0.142857,0.142857,0.285714,0.214286,0.571429,0.142857,1
pos_77,0.368421,0.105263,0.210526,0.210526,0.315789,0.105263,0.210526,0.105263,0.315789,0.210526,0.315789,0.105263,0.368421,0.0,0.105263,0.210526,0.210526,0.105263,0.368421,0.263158,0.105263,1
pos_78,0.052632,0.157895,0.473684,0.315789,0.105263,0.105263,0.421053,0.210526,0.105263,0.315789,0.105263,0.105263,0.105263,0.0,0.052632,0.0,0.315789,0.210526,0.210526,0.526316,0.0,1
pos_79,0.166667,0.25,0.416667,0.333333,0.416667,0.166667,0.416667,0.25,0.166667,0.25,0.166667,0.416667,0.083333,0.166667,0.166667,0.083333,0.166667,0.583333,0.25,0.416667,0.166667,1
pos_80,0.428571,0.142857,0.071429,0.428571,0.071429,0.071429,0.071429,0.142857,0.428571,0.428571,0.071429,0.071429,0.142857,0.0,0.142857,0.214286,0.214286,0.071429,0.357143,0.214286,0.214286,1
pos_81,0.35,0.05,0.25,0.45,0.15,0.05,0.3,0.1,0.3,0.45,0.15,0.05,0.1,0.0,0.2,0.2,0.3,0.1,0.15,0.35,0.25,1
pos_82,0.333333,0.133333,0.0,0.133333,0.2,0.333333,0.133333,0.266667,0.2,0.2,0.2,0.333333,0.266667,0.0,0.133333,0.4,0.2,0.0,0.333333,0.2,0.133333,1
pos_83,0.133333,0.266667,0.133333,0.133333,0.2,0.2,0.066667,0.333333,0.066667,0.133333,0.2,0.2,0.066667,0.066667,0.466667,0.333333,0.266667,0.066667,0.2,0.2,0.2,1
pos_84,0.357143,0.071429,0.285714,0.071429,0.285714,0.071429,0.142857,0.214286,0.214286,0.071429,0.285714,0.071429,0.285714,0.0,0.142857,0.357143,0.214286,0.071429,0.142857,0.357143,0.285714,1
pos_85,0.181818,0.0,0.363636,0.454545,0.0,0.090909,0.272727,0.090909,0.181818,0.363636,0.0,0.090909,0.0,0.0,0.363636,0.181818,0.272727,0.181818,0.0,0.363636,0.181818,1
pos_86,0.176471,0.294118,0.176471,0.117647,0.117647,0.352941,0.058824,0.294118,0.176471,0.117647,0.117647,0.352941,0.235294,0.0,0.235294,0.294118,0.235294,0.058824,0.294118,0.117647,0.176471,1
pos_87,0.210526,0.052632,0.263158,0.421053,0.052632,0.052632,0.263158,0.052632,0.210526,0.421053,0.052632,0.052632,0.105263,0.0,0.0,0.263158,0.368421,0.052632,0.157895,0.368421,0.105263,1
pos_88,0.0,0.222222,0.166667,0.166667,0.111111,0.111111,0.166667,0.222222,0.111111,0.222222,0.055556,0.166667,0.111111,0.0,0.0,0.166667,0.222222,0.166667,0.166667,0.222222,0.055556,1
pos_89,0.176471,0.058824,0.529412,0.235294,0.117647,0.117647,0.411765,0.058824,0.176471,0.470588,0.117647,0.117647,0.117647,0.0,0.117647,0.294118,0.176471,0.176471,0.058824,0.529412,0.176471,1
pos_90,0.125,0.0625,0.375,0.3125,0.0625,0.25,0.1875,0.125,0.1875,0.3125,0.0625,0.25,0.0,0.0625,0.1875,0.375,0.125,0.125,0.1875,0.25,0.0,1
pos_91,0.266667,0.133333,0.4,0.4,0.4,0.0,0.4,0.133333,0.266667,0.466667,0.333333,0.066667,0.066667,0.066667,0.2,0.2,0.333333,0.333333,0.266667,0.4,0.133333,1
pos_92,0.083333,0.083333,0.666667,0.333333,0.166667,0.25,0.5,0.166667,0.0,0.25,0.083333,0.333333,0.0,0.0,0.0,0.25,0.166667,0.166667,0.083333,0.666667,0.083333,1
pos_93,0.214286,0.214286,0.357143,0.285714,0.142857,0.428571,0.214286,0.357143,0.214286,0.071429,0.142857,0.428571,0.285714,0.0,0.0,0.285714,0.142857,0.071429,0.357143,0.357143,0.071429,1
pos_94,0.368421,0.157895,0.210526,0.315789,0.052632,0.263158,0.157895,0.210526,0.315789,0.210526,0.052632,0.263158,0.105263,0.0,0.210526,0.263158,0.052632,0.105263,0.315789,0.210526,0.210526,1
pos_95,0.0,0.0,0.461538,0.461538,0.0,0.153846,0.461538,0.0,0.0,0.461538,0.0,0.153846,0.0,0.0,0.0,0.230769,0.153846,0.230769,0.0,0.153846,0.0,1
pos_96,0.285714,0.285714,0.214286,0.357143,0.142857,0.142857,0.214286,0.285714,0.285714,0.357143,0.142857,0.142857,0.285714,0.0,0.142857,0.357143,0.357143,0.071429,0.285714,0.142857,0.285714,1
pos_97,0.090909,0.090909,0.727273,0.363636,0.272727,0.181818,0.545455,0.272727,0.090909,0.272727,0.0,0.454545,0.0,0.0,0.0,0.272727,0.363636,0.272727,0.090909,0.545455,0.090909,1
pos_98,0.052632,0.315789,0.263158,0.263158,0.368421,0.157895,0.263158,0.315789,0.052632,0.105263,0.210526,0.315789,0.052632,0.0,0.105263,0.210526,0.157895,0.368421,0.315789,0.157895,0.052632,1
pos_99,0.157895,0.157895,0.368421,0.052632,0.473684,0.210526,0.368421,0.157895,0.157895,0.157895,0.368421,0.315789,0.210526,0.0,0.105263,0.263158,0.157895,0.263158,0.157895,0.210526,0.157895,1
pos_100,0.285714,0.214286,0.071429,0.214286,0.142857,0.285714,0.071429,0.214286,0.285714,0.214286,0.142857,0.285714,0.285714,0.0,0.214286,0.285714,0.214286,0.0,0.357143,0.142857,0.142857,1
pos_101,0.071429,0.214286,0.357143,0.357143,0.071429,0.071429,0.357143,0.214286,0.071429,0.285714,0.0,0.142857,0.142857,0.0,0.142857,0.357143,0.285714,0.142857,0.214286,0.214286,0.071429,1
pos_102,0.315789,0.157895,0.263158,0.210526,0.263158,0.157895,0.210526,0.210526,0.157895,0.315789,0.157895,0.263158,0.0,0.0,0.210526,0.157895,0.210526,0.368421,0.157895,0.157895,0.315789,1
pos_103,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.071429,0.285714,0.285714,0.0,0.142857,0.0,1
pos_104,0.4,0.1,0.233333,0.366667,0.166667,0.133333,0.233333,0.166667,0.3,0.366667,0.1,0.2,0.233333,0.033333,0.1,0.2,0.166667,0.2,0.233333,0.1,0.266667,1
pos_105,0.266667,0.2,0.2,0.266667,0.2,0.066667,0.2,0.2,0.266667,0.266667,0.2,0.066667,0.266667,0.0,0.2,0.2,0.266667,0.066667,0.333333,0.066667,0.133333,1
pos_106,0.2,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.1,0.6,0.0,0.2,0.0,0.2,1
pos_107,0.15,0.35,0.35,0.15,0.35,0.1,0.35,0.35,0.15,0.3,0.2,0.25,0.25,0.0,0.15,0.3,0.2,0.2,0.45,0.35,0.05,1
pos_108,0.235294,0.058824,0.235294,0.294118,0.176471,0.058824,0.235294,0.058824,0.235294,0.411765,0.176471,0.058824,0.117647,0.0,0.176471,0.176471,0.117647,0.117647,0.0,0.176471,0.294118,1
pos_109,0.083333,0.166667,0.416667,0.166667,0.25,0.25,0.25,0.333333,0.083333,0.25,0.166667,0.333333,0.0,0.0,0.25,0.25,0.166667,0.416667,0.166667,0.25,0.083333,1
pos_110,0.214286,0.142857,0.285714,0.214286,0.142857,0.214286,0.142857,0.285714,0.214286,0.285714,0.071429,0.285714,0.214286,0.0,0.0,0.214286,0.285714,0.071429,0.285714,0.285714,0.071429,1
pos_111,0.117647,0.235294,0.176471,0.411765,0.235294,0.0,0.294118,0.235294,0.117647,0.529412,0.176471,0.058824,0.0,0.0,0.235294,0.176471,0.294118,0.352941,0.235294,0.176471,0.117647,1
pos_112,0.066667,0.066667,0.4,0.266667,0.133333,0.133333,0.4,0.066667,0.066667,0.2,0.066667,0.2,0.133333,0.0,0.0,0.2,0.2,0.266667,0.133333,0.333333,0.0,1
pos_113,0.307692,0.076923,0.384615,0.384615,0.230769,0.230769,0.461538,0.153846,0.153846,0.384615,0.230769,0.230769,0.076923,0.0,0.153846,0.076923,0.230769,0.384615,0.153846,0.307692,0.230769,1
pos_114,0.25,0.25,0.166667,0.083333,0.083333,0.5,0.0,0.5,0.166667,0.083333,0.083333,0.5,0.166667,0.0,0.166667,0.333333,0.083333,0.083333,0.416667,0.166667,0.083333,1
pos_115,0.235294,0.235294,0.058824,0.117647,0.176471,0.235294,0.058824,0.235294,0.235294,0.0,0.117647,0.294118,0.352941,0.0,0.0,0.529412,0.117647,0.058824,0.176471,0.058824,0.294118,1
pos_116,0.317073,0.268293,0.195122,0.219512,0.292683,0.170732,0.195122,0.268293,0.317073,0.243902,0.292683,0.170732,0.219512,0.02439,0.365854,0.195122,0.195122,0.268293,0.439024,0.121951,0.146341,1
pos_117,0.4,0.0,0.4,0.2,0.4,0.15,0.35,0.25,0.25,0.25,0.25,0.3,0.2,0.0,0.1,0.25,0.2,0.2,0.15,0.3,0.25,1
pos_118,0.357143,0.214286,0.071429,0.285714,0.142857,0.142857,0.071429,0.214286,0.357143,0.357143,0.142857,0.142857,0.285714,0.0,0.0,0.214286,0.357143,0.214286,0.428571,0.214286,0.142857,1
pos_119,0.217391,0.130435,0.217391,0.26087,0.347826,0.173913,0.304348,0.130435,0.217391,0.26087,0.347826,0.173913,0.173913,0.0,0.173913,0.173913,0.086957,0.043478,0.173913,0.304348,0.173913,1
pos_120,0.071429,0.357143,0.071429,0.142857,0.0,0.642857,0.071429,0.357143,0.071429,0.142857,0.0,0.642857,0.428571,0.071429,0.0,0.142857,0.285714,0.142857,0.357143,0.071429,0.071429,1
pos_121,0.388889,0.166667,0.166667,0.166667,0.166667,0.166667,0.111111,0.333333,0.222222,0.111111,0.111111,0.222222,0.222222,0.0,0.333333,0.222222,0.166667,0.333333,0.277778,0.166667,0.277778,1
pos_122,0.285714,0.214286,0.214286,0.357143,0.142857,0.142857,0.142857,0.285714,0.357143,0.357143,0.142857,0.142857,0.071429,0.071429,0.357143,0.071429,0.642857,0.071429,0.285714,0.071429,0.214286,1
