seq_id,PAAC_A,PAAC_C,PAAC_D,PAAC_E,PAAC_F,PAAC_G,PAAC_H,PAAC_I,PAAC_K,PAAC_L,PAAC_M,PAAC_N,PAAC_P,PAAC_Q,PAAC_R,PAAC_S,PAAC_T,PAAC_V,PAAC_W,PAAC_Y,PAAC_T1,PAAC_T2,PAAC_T3,label
pos_11,0.087787,0.0,0.087787,0.087787,0.0,0.0,0.087787,0.043893,0.087787,0.087787,0.043893,0.0,0.043893,0.0,0.087787,0.0,0.0,0.0,0.0,0.0,0.098798,0.091524,0.063491,1
pos_12,0.111497,0.0,0.0,0.037166,0.037166,0.074331,0.0,0.111497,0.0,0.037166,0.037166,0.037166,0.037166,0.0,0.074331,0.037166,0.0,0.074331,0.0,0.037166,0.059907,0.082319,0.114464,1
pos_13,0.0,0.0,0.036537,0.109611,0.0,0.0,0.073074,0.036537,0.073074,0.0,0.0,0.036537,0.109611,0.073074,0.036537,0.146147,0.0,0.073074,0.0,0.0,0.05059,0.068015,0.077585,1
pos_14,0.047218,0.0,0.047218,0.047218,0.141654,0.094436,0.0,0.047218,0.0,0.094436,0.0,0.047218,0.0,0.0,0.0,0.094436,0.0,0.0,0.047218,0.047218,0.084727,0.09093,0.068854,1
pos_15,0.035863,0.035863,0.035863,0.0,0.0,0.035863,0.0,0.071725,0.0,0.035863,0.035863,0.035863,0.035863,0.0,0.179314,0.143451,0.035863,0.035863,0.0,0.0,0.057727,0.090086,0.099069,1
pos_16,0.034025,0.0,0.0,0.034025,0.034025,0.06805,0.034025,0.06805,0.06805,0.0,0.034025,0.0,0.034025,0.0,0.102075,0.06805,0.0,0.034025,0.0,0.102075,0.106211,0.075902,0.103366,1
pos_17,0.044014,0.044014,0.088027,0.0,0.0,0.044014,0.044014,0.044014,0.0,0.088027,0.0,0.0,0.044014,0.0,0.044014,0.088027,0.044014,0.132041,0.0,0.044014,0.059272,0.077238,0.071247,1
pos_18,0.041722,0.0,0.0,0.041722,0.041722,0.0,0.041722,0.0,0.041722,0.0,0.0,0.0,0.083444,0.166888,0.041722,0.292055,0.0,0.041722,0.0,0.0,0.051628,0.043065,0.070865,1
pos_19,0.0,0.0,0.05097,0.152911,0.0,0.0,0.0,0.101941,0.101941,0.152911,0.0,0.101941,0.0,0.0,0.0,0.0,0.05097,0.0,0.0,0.05097,0.074204,0.113483,0.047756,1
pos_20,0.044408,0.0,0.0,0.022204,0.022204,0.133223,0.0,0.022204,0.066611,0.044408,0.044408,0.044408,0.044408,0.022204,0.044408,0.0,0.066611,0.044408,0.022204,0.044408,0.095035,0.078599,0.09364,1
pos_21,0.07549,0.0,0.07549,0.07549,0.037745,0.0,0.037745,0.0,0.0,0.07549,0.037745,0.0,0.113235,0.037745,0.07549,0.0,0.07549,0.0,0.037745,0.0,0.083813,0.085163,0.076122,1
pos_22,0.046335,0.0,0.0,0.069503,0.0,0.09267,0.0,0.023168,0.046335,0.115838,0.046335,0.046335,0.0,0.0,0.069503,0.046335,0.023168,0.046335,0.023168,0.023168,0.109721,0.082391,0.089694,1
pos_23,0.100713,0.0,0.050356,0.050356,0.100713,0.100713,0.0,0.0,0.100713,0.050356,0.0,0.050356,0.0,0.0,0.0,0.050356,0.0,0.100713,0.0,0.0,0.057262,0.095262,0.092131,1
pos_24,0.0,0.0,0.0,0.0,0.053133,0.053133,0.053133,0.1594,0.106267,0.053133,0.0,0.0,0.053133,0.053133,0.0,0.053133,0.053133,0.053133,0.0,0.053133,0.060415,0.07662,0.065964,1
pos_25,0.235088,0.0,0.0,0.0,0.058772,0.0,0.0,0.0,0.0,0.117544,0.0,0.0,0.117544,0.058772,0.0,0.0,0.0,0.058772,0.0,0.176316,0.075145,0.039014,0.063031,1
pos_26,0.0,0.052231,0.0,0.052231,0.0,0.156693,0.052231,0.0,0.0,0.104462,0.0,0.0,0.156693,0.052231,0.052231,0.052231,0.0,0.0,0.0,0.052231,0.085388,0.074884,0.056263,1
pos_27,0.041559,0.124678,0.0,0.124678,0.041559,0.041559,0.0,0.041559,0.083119,0.0,0.0,0.0,0.041559,0.0,0.0,0.124678,0.083119,0.083119,0.0,0.0,0.073147,0.044307,0.051357,1
pos_28,0.0,0.0,0.029522,0.059045,0.059045,0.029522,0.0,0.177135,0.088567,0.0,0.0,0.029522,0.0,0.0,0.029522,0.088567,0.147612,0.029522,0.0,0.0,0.077057,0.067354,0.088006,1
pos_29,0.124375,0.0,0.0,0.0,0.041458,0.124375,0.0,0.0,0.041458,0.124375,0.0,0.041458,0.041458,0.041458,0.0,0.041458,0.041458,0.124375,0.0,0.041458,0.069557,0.045668,0.055611,1
pos_30,0.044742,0.0,0.089484,0.089484,0.044742,0.044742,0.0,0.089484,0.0,0.044742,0.044742,0.089484,0.0,0.0,0.0,0.089484,0.044742,0.044742,0.0,0.044742,0.063722,0.065889,0.06503,1
pos_31,0.0,0.0,0.0,0.0,0.037769,0.0,0.0,0.037769,0.075539,0.377695,0.0,0.0,0.037769,0.037769,0.037769,0.113308,0.0,0.0,0.037769,0.0,0.05971,0.071571,0.07556,1
pos_32,0.098955,0.0,0.049478,0.0,0.0,0.098955,0.0,0.098955,0.049478,0.098955,0.0,0.0,0.0,0.0,0.098955,0.0,0.049478,0.0,0.0,0.098955,0.08356,0.101729,0.072547,1
pos_33,0.0,0.047947,0.0,0.047947,0.047947,0.095895,0.047947,0.047947,0.095895,0.095895,0.0,0.0,0.0,0.0,0.095895,0.0,0.0,0.095895,0.0,0.0,0.107506,0.056279,0.117005,1
pos_34,0.0,0.0,0.0,0.0,0.077697,0.038849,0.0,0.038849,0.155395,0.077697,0.0,0.0,0.038849,0.038849,0.038849,0.116546,0.038849,0.038849,0.0,0.038849,0.086182,0.088555,0.087139,1
pos_35,0.0,0.0,0.039736,0.0,0.0,0.079473,0.0,0.079473,0.119209,0.039736,0.0,0.158945,0.039736,0.039736,0.039736,0.0,0.158945,0.0,0.0,0.0,0.060705,0.0582,0.086369,1
pos_36,0.038982,0.077964,0.038982,0.077964,0.0,0.038982,0.0,0.038982,0.0,0.077964,0.077964,0.038982,0.0,0.155927,0.077964,0.038982,0.0,0.0,0.0,0.0,0.069572,0.080401,0.070392,1
pos_37,0.051898,0.0,0.0,0.155695,0.103797,0.0,0.0,0.051898,0.051898,0.103797,0.0,0.0,0.051898,0.051898,0.0,0.103797,0.0,0.0,0.0,0.051898,0.081901,0.062363,0.077259,1
pos_38,0.0,0.0,0.0,0.0,0.0,0.184167,0.061389,0.0,0.0,0.061389,0.061389,0.0,0.122778,0.0,0.0,0.061389,0.122778,0.245556,0.0,0.0,0.028176,0.024898,0.026089,1
pos_39,0.163076,0.0,0.040769,0.122307,0.0,0.0,0.0,0.040769,0.081538,0.040769,0.0,0.040769,0.0,0.040769,0.081538,0.040769,0.0,0.040769,0.0,0.0,0.111865,0.063577,0.090716,1
pos_40,0.129177,0.0,0.064588,0.0,0.0,0.0,0.0,0.193765,0.064588,0.129177,0.0,0.0,0.0,0.064588,0.0,0.129177,0.0,0.0,0.0,0.0,0.066208,0.076189,0.082543,1
pos_41,0.0,0.082836,0.0,0.165671,0.041418,0.041418,0.041418,0.0,0.0,0.041418,0.0,0.165671,0.0,0.124254,0.041418,0.082836,0.0,0.0,0.0,0.0,0.054733,0.068296,0.048614,1
pos_42,0.116207,0.0,0.058104,0.116207,0.0,0.058104,0.0,0.0,0.0,0.174311,0.0,0.058104,0.0,0.058104,0.0,0.058104,0.058104,0.058104,0.0,0.0,0.057706,0.068016,0.060827,1
pos_43,0.0421,0.0421,0.0,0.168401,0.084201,0.084201,0.0,0.0,0.0,0.0421,0.0,0.0,0.0,0.0,0.084201,0.0421,0.0,0.084201,0.0,0.0,0.0863,0.121491,0.118604,1
pos_44,0.0,0.0,0.0,0.0,0.104524,0.034841,0.0,0.0,0.0,0.0,0.0,0.104524,0.069682,0.0,0.139365,0.104524,0.069682,0.0,0.0,0.069682,0.078351,0.11122,0.113605,1
pos_45,0.376428,0.0,0.0,0.053775,0.0,0.0,0.0,0.0,0.053775,0.053775,0.0,0.0,0.0,0.053775,0.0,0.0,0.053775,0.107551,0.0,0.053775,0.064496,0.064299,0.064573,1
pos_46,0.051651,0.0,0.103303,0.051651,0.0,0.051651,0.051651,0.103303,0.051651,0.051651,0.0,0.0,0.0,0.0,0.0,0.103303,0.0,0.206605,0.0,0.0,0.054276,0.058049,0.061254,1
pos_47,0.05431,0.0,0.0,0.0,0.0,0.108619,0.05431,0.0,0.0,0.05431,0.0,0.05431,0.0,0.0,0.0,0.162929,0.108619,0.162929,0.05431,0.0,0.053212,0.060223,0.071922,1
pos_48,0.0,0.054234,0.0,0.054234,0.0,0.0,0.0,0.054234,0.054234,0.108469,0.0,0.054234,0.108469,0.054234,0.108469,0.0,0.054234,0.054234,0.0,0.054234,0.064321,0.058854,0.06331,1
pos_49,0.041625,0.0,0.0,0.0,0.0,0.041625,0.0,0.08325,0.124875,0.124875,0.0,0.041625,0.0,0.0,0.08325,0.041625,0.041625,0.041625,0.0,0.041625,0.086515,0.114773,0.091086,1
pos_50,0.023676,0.071027,0.023676,0.023676,0.023676,0.118379,0.094703,0.0,0.047351,0.071027,0.0,0.0,0.023676,0.047351,0.071027,0.047351,0.0,0.047351,0.023676,0.0,0.093384,0.089915,0.059078,1
pos_51,0.039182,0.0,0.0,0.117547,0.039182,0.078364,0.0,0.039182,0.078364,0.0,0.0,0.195911,0.0,0.0,0.0,0.078364,0.039182,0.039182,0.0,0.039182,0.075392,0.069587,0.071376,1
pos_52,0.14132,0.0,0.0,0.0,0.094213,0.047107,0.0,0.0,0.0,0.094213,0.0,0.0,0.0,0.047107,0.188427,0.047107,0.0,0.047107,0.0,0.0,0.109759,0.09368,0.08996,1
pos_53,0.102858,0.0,0.0,0.051429,0.102858,0.257146,0.0,0.0,0.0,0.0,0.0,0.0,0.102858,0.0,0.051429,0.051429,0.0,0.051429,0.0,0.0,0.095488,0.082766,0.050308,1
pos_54,0.12875,0.0,0.064375,0.0,0.064375,0.0,0.0,0.064375,0.064375,0.064375,0.0,0.0,0.064375,0.0,0.0,0.064375,0.064375,0.12875,0.0,0.064375,0.056958,0.064516,0.041649,1
pos_55,0.098966,0.0,0.0,0.098966,0.049483,0.0,0.0,0.0,0.049483,0.098966,0.0,0.049483,0.049483,0.0,0.049483,0.0,0.049483,0.049483,0.0,0.098966,0.093917,0.064812,0.099023,1
pos_56,0.180999,0.0,0.0,0.060333,0.120666,0.0,0.0,0.060333,0.120666,0.0,0.0,0.060333,0.0,0.0,0.0,0.0,0.060333,0.060333,0.0,0.0,0.082397,0.113286,0.080321,1
pos_57,0.04119,0.0,0.08238,0.08238,0.0,0.04119,0.0,0.04119,0.12357,0.08238,0.0,0.0,0.0,0.0,0.0,0.08238,0.0,0.04119,0.0,0.12357,0.076192,0.085068,0.097321,1
pos_58,0.038332,0.0,0.076665,0.038332,0.038332,0.076665,0.038332,0.038332,0.038332,0.15333,0.0,0.076665,0.038332,0.0,0.0,0.0,0.0,0.038332,0.038332,0.038332,0.070733,0.088497,0.074121,1
pos_59,0.0,0.0,0.083826,0.041913,0.083826,0.0,0.0,0.0,0.125739,0.167653,0.041913,0.0,0.0,0.041913,0.041913,0.041913,0.0,0.041913,0.0,0.041913,0.066576,0.083137,0.095849,1
pos_60,0.046418,0.0,0.0,0.0,0.046418,0.0,0.092836,0.046418,0.139255,0.092836,0.0,0.0,0.0,0.0,0.046418,0.046418,0.046418,0.046418,0.046418,0.0,0.099273,0.098808,0.105647,1
pos_61,0.062935,0.0,0.0,0.12587,0.062935,0.0,0.0,0.0,0.12587,0.062935,0.0,0.0,0.0,0.0,0.0,0.0,0.12587,0.12587,0.0,0.062935,0.090666,0.075867,0.07825,1
pos_62,0.0,0.0,0.0,0.111038,0.0,0.222077,0.055519,0.055519,0.0,0.055519,0.0,0.0,0.055519,0.111038,0.0,0.055519,0.055519,0.055519,0.0,0.0,0.060811,0.04439,0.062011,1
pos_63,0.0,0.046985,0.046985,0.093971,0.046985,0.0,0.0,0.046985,0.0,0.093971,0.046985,0.046985,0.0,0.0,0.093971,0.0,0.0,0.093971,0.0,0.046985,0.073392,0.112943,0.108882,1
pos_64,0.115415,0.0,0.038472,0.0,0.0,0.192359,0.0,0.0,0.115415,0.0,0.0,0.038472,0.076944,0.0,0.0,0.038472,0.076944,0.0,0.038472,0.038472,0.055392,0.076765,0.098408,1
pos_65,0.0,0.048862,0.048862,0.048862,0.0,0.097725,0.0,0.0,0.0,0.0,0.0,0.048862,0.0,0.0,0.048862,0.097725,0.048862,0.048862,0.0,0.19545,0.054458,0.103802,0.108804,1
pos_66,0.027939,0.027939,0.0,0.055878,0.0,0.055878,0.0,0.027939,0.055878,0.055878,0.0,0.055878,0.027939,0.0,0.139695,0.027939,0.055878,0.083817,0.0,0.027939,0.057561,0.102464,0.113561,1
pos_67,0.057121,0.0,0.028561,0.0,0.0,0.028561,0.028561,0.085682,0.085682,0.057121,0.0,0.028561,0.028561,0.028561,0.171364,0.0,0.028561,0.028561,0.0,0.0,0.088899,0.130793,0.094852,1
pos_68,0.0,0.0,0.045309,0.0,0.045309,0.0,0.0,0.045309,0.045309,0.090618,0.0,0.045309,0.045309,0.045309,0.135927,0.0,0.045309,0.090618,0.0,0.0,0.105314,0.133558,0.081492,1
pos_69,0.087282,0.0,0.0,0.0,0.029094,0.029094,0.029094,0.029094,0.087282,0.116376,0.0,0.058188,0.0,0.029094,0.058188,0.116376,0.029094,0.029094,0.0,0.029094,0.09236,0.082185,0.069011,1
pos_70,0.0,0.047067,0.0,0.0,0.0,0.141202,0.047067,0.094135,0.0,0.141202,0.0,0.047067,0.0,0.0,0.0,0.094135,0.047067,0.094135,0.0,0.094135,0.049324,0.047068,0.056394,1
pos_71,0.039438,0.0,0.0,0.039438,0.0,0.0,0.039438,0.078876,0.078876,0.118313,0.0,0.078876,0.078876,0.078876,0.039438,0.0,0.039438,0.078876,0.0,0.0,0.074166,0.058091,0.078987,1
pos_72,0.049191,0.0,0.0,0.049191,0.049191,0.147573,0.0,0.0,0.0,0.098382,0.0,0.0,0.0,0.049191,0.049191,0.098382,0.049191,0.0,0.0,0.098382,0.081878,0.09287,0.087387,1
pos_73,0.0,0.051643,0.0,0.051643,0.051643,0.051643,0.0,0.15493,0.15493,0.051643,0.0,0.0,0.0,0.051643,0.0,0.103287,0.0,0.051643,0.0,0.0,0.061363,0.091426,0.072559,1
pos_74,0.243308,0.0,0.0,0.040551,0.040551,0.0,0.040551,0.0,0.0,0.202757,0.0,0.0,0.0,0.081103,0.040551,0.040551,0.0,0.040551,0.040551,0.0,0.066654,0.050825,0.071494,1
pos_75,0.118869,0.0,0.0,0.059434,0.0,0.118869,0.0,0.0,0.059434,0.118869,0.0,0.0,0.0,0.0,0.0,0.237737,0.059434,0.059434,0.0,0.0,0.058596,0.06499,0.044333,1
pos_76,0.0,0.056199,0.056199,0.056199,0.0,0.056199,0.112398,0.056199,0.0,0.168596,0.0,0.056199,0.112398,0.0,0.0,0.056199,0.0,0.0,0.0,0.056199,0.058885,0.049099,0.049035,1
pos_77,0.107536,0.0,0.0,0.035845,0.035845,0.107536,0.035845,0.035845,0.071691,0.0,0.0,0.0,0.0,0.0,0.107536,0.071691,0.071691,0.035845,0.0,0.0,0.094543,0.107936,0.080614,1
pos_78,0.083156,0.041578,0.0,0.041578,0.0,0.083156,0.041578,0.041578,0.0,0.166311,0.0,0.0,0.041578,0.041578,0.041578,0.166311,0.0,0.041578,0.0,0.0,0.068175,0.052606,0.047663,1
pos_79,0.0,0.0,0.056057,0.056057,0.112114,0.0,0.0,0.056057,0.0,0.0,0.0,0.056057,0.112114,0.0,0.112114,0.112114,0.0,0.056057,0.0,0.0,0.081762,0.104231,0.085264,1
pos_80,0.281496,0.0,0.0,0.056299,0.0,0.0,0.0,0.0,0.056299,0.112599,0.0,0.056299,0.0,0.056299,0.0,0.056299,0.168898,0.0,0.0,0.0,0.06231,0.060842,0.032359,1
pos_81,0.038323,0.0,0.0,0.076646,0.038323,0.038323,0.0,0.076646,0.076646,0.038323,0.0,0.076646,0.038323,0.038323,0.0,0.114969,0.076646,0.038323,0.0,0.038323,0.055671,0.066573,0.072973,1
pos_82,0.045737,0.0,0.0,0.045737,0.045737,0.091474,0.0,0.045737,0.045737,0.0,0.0,0.0,0.045737,0.091474,0.045737,0.0,0.045737,0.091474,0.0,0.091474,0.0909,0.111305,0.066005,1
pos_83,0.0,0.0,0.099399,0.149098,0.049699,0.0,0.049699,0.0,0.0,0.198797,0.049699,0.049699,0.0,0.0,0.049699,0.0,0.049699,0.049699,0.0,0.0,0.061854,0.077406,0.065552,1
pos_84,0.098838,0.0,0.0,0.049419,0.148257,0.0,0.0,0.0,0.049419,0.0,0.049419,0.0,0.049419,0.0,0.098838,0.098838,0.0,0.0,0.0,0.098838,0.079193,0.094264,0.085257,1
pos_85,0.071009,0.0,0.142018,0.142018,0.0,0.0,0.071009,0.142018,0.0,0.0,0.0,0.071009,0.142018,0.0,0.0,0.0,0.071009,0.0,0.0,0.0,0.030103,0.053473,0.064315,1
pos_86,0.043768,0.0,0.0,0.087535,0.087535,0.0,0.0,0.043768,0.043768,0.131303,0.0,0.043768,0.0,0.0,0.043768,0.087535,0.043768,0.087535,0.0,0.043768,0.076315,0.081751,0.054117,1
pos_87,0.13018,0.043393,0.0,0.0,0.0,0.086787,0.0,0.043393,0.043393,0.13018,0.0,0.086787,0.043393,0.043393,0.0,0.086787,0.086787,0.043393,0.0,0.0,0.033004,0.051978,0.047151,1
pos_88,0.087559,0.0,0.0,0.0,0.0,0.043779,0.043779,0.087559,0.043779,0.043779,0.087559,0.043779,0.043779,0.0,0.0,0.262676,0.0,0.0,0.043779,0.0,0.05612,0.045133,0.066938,1
pos_89,0.0,0.090743,0.045372,0.0,0.0,0.045372,0.0,0.0,0.0,0.136115,0.0,0.0,0.045372,0.0,0.090743,0.136115,0.136115,0.045372,0.0,0.045372,0.047269,0.066434,0.069609,1
pos_90,0.047425,0.094849,0.0,0.094849,0.0,0.094849,0.047425,0.0,0.0,0.189699,0.0,0.0,0.0,0.0,0.047425,0.047425,0.0,0.094849,0.0,0.047425,0.048925,0.081731,0.063125,1
pos_91,0.049426,0.049426,0.049426,0.049426,0.049426,0.049426,0.0,0.049426,0.049426,0.0,0.049426,0.049426,0.0,0.049426,0.0,0.098853,0.049426,0.098853,0.0,0.0,0.06282,0.073674,0.072682,1
pos_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065205,0.0,0.195614,0.0,0.0,0.195614,0.065205,0.0,0.065205,0.065205,0.0,0.065205,0.130409,0.060234,0.038196,0.053909,1
pos_93,0.053768,0.0,0.0,0.0,0.053768,0.0,0.053768,0.053768,0.053768,0.107536,0.0,0.053768,0.107536,0.053768,0.053768,0.0,0.053768,0.107536,0.0,0.0,0.084429,0.045784,0.063265,1
pos_94,0.07916,0.0,0.11874,0.0,0.03958,0.07916,0.0,0.03958,0.03958,0.07916,0.03958,0.07916,0.03958,0.0,0.0,0.03958,0.0,0.07916,0.0,0.03958,0.068576,0.076388,0.063435,1
pos_95,0.127582,0.0,0.0,0.0,0.0,0.255165,0.0,0.191374,0.0,0.063791,0.063791,0.0,0.0,0.0,0.0,0.0,0.0,0.191374,0.0,0.0,0.026024,0.043158,0.037741,1
pos_96,0.101077,0.0,0.0,0.050538,0.050538,0.0,0.0,0.101077,0.101077,0.050538,0.0,0.050538,0.050538,0.050538,0.0,0.101077,0.0,0.050538,0.0,0.0,0.076731,0.071915,0.093278,1
pos_97,0.0,0.0,0.0,0.0,0.073072,0.073072,0.146144,0.146144,0.0,0.073072,0.073072,0.073072,0.146144,0.0,0.0,0.0,0.073072,0.0,0.0,0.0,0.05405,0.043105,0.025979,1
pos_98,0.040916,0.081833,0.040916,0.0,0.163666,0.0,0.0,0.0,0.0,0.040916,0.040916,0.122749,0.040916,0.0,0.040916,0.040916,0.081833,0.081833,0.0,0.0,0.061776,0.069359,0.050536,1
pos_99,0.112876,0.0,0.037625,0.0,0.150501,0.037625,0.0,0.0,0.0,0.112876,0.037625,0.0,0.075251,0.0,0.075251,0.037625,0.075251,0.0,0.0,0.0,0.090448,0.086137,0.070909,1
pos_100,0.0,0.0,0.0,0.088672,0.0,0.088672,0.0,0.088672,0.0,0.0,0.044336,0.044336,0.0,0.044336,0.177344,0.0,0.088672,0.0,0.0,0.0,0.089802,0.144388,0.10077,1
pos_101,0.0,0.0,0.0,0.054196,0.0,0.054196,0.0,0.216784,0.108392,0.162588,0.0,0.0,0.108392,0.0,0.0,0.054196,0.0,0.054196,0.0,0.0,0.058433,0.072981,0.055645,1
pos_102,0.0,0.118673,0.079115,0.039558,0.0,0.079115,0.039558,0.0,0.0,0.0,0.0,0.039558,0.039558,0.079115,0.0,0.118673,0.039558,0.0,0.079115,0.039558,0.072108,0.067658,0.069081,1
pos_103,0.060718,0.0,0.0,0.0,0.0,0.242874,0.0,0.0,0.0,0.242874,0.0,0.0,0.0,0.0,0.0,0.060718,0.060718,0.242874,0.0,0.0,0.02512,0.040095,0.024008,1
pos_104,0.045901,0.02295,0.0,0.045901,0.02295,0.045901,0.02295,0.02295,0.0,0.0,0.0,0.068851,0.02295,0.068851,0.114752,0.068851,0.0,0.068851,0.0,0.068851,0.077398,0.106989,0.104151,1
pos_105,0.042766,0.0,0.0,0.128297,0.0,0.042766,0.0,0.042766,0.042766,0.085531,0.0,0.0,0.0,0.042766,0.085531,0.085531,0.0,0.085531,0.0,0.0,0.078051,0.10851,0.129187,1
pos_106,0.0,0.0,0.143168,0.0,0.0,0.0,0.0,0.071584,0.214753,0.143168,0.0,0.071584,0.071584,0.0,0.071584,0.0,0.0,0.0,0.0,0.0,0.061944,0.072007,0.078622,1
pos_107,0.075667,0.113501,0.0,0.075667,0.0,0.037834,0.0,0.037834,0.113501,0.037834,0.037834,0.037834,0.037834,0.0,0.0,0.113501,0.037834,0.0,0.037834,0.0,0.086,0.072926,0.046567,1
pos_108,0.045585,0.0,0.045585,0.045585,0.045585,0.0,0.0,0.0,0.0,0.0,0.045585,0.045585,0.136756,0.0,0.045585,0.136756,0.136756,0.091171,0.0,0.0,0.043728,0.060493,0.075245,1
pos_109,0.062167,0.0,0.124334,0.0,0.062167,0.062167,0.062167,0.124334,0.0,0.062167,0.0,0.0,0.062167,0.0,0.0,0.0,0.124334,0.0,0.062167,0.0,0.077372,0.059262,0.055194,1
pos_110,0.151389,0.0,0.0,0.0,0.0,0.0,0.050463,0.0,0.050463,0.100926,0.0,0.050463,0.050463,0.0,0.100926,0.100926,0.0,0.100926,0.0,0.0,0.077944,0.07774,0.087369,1
pos_111,0.044352,0.0,0.088704,0.0,0.0,0.044352,0.0,0.044352,0.0,0.044352,0.0,0.044352,0.088704,0.088704,0.0,0.0,0.088704,0.133056,0.044352,0.044352,0.071178,0.063665,0.066819,1
pos_112,0.101685,0.101685,0.0,0.0,0.0,0.152527,0.0,0.050842,0.0,0.0,0.0,0.0,0.203369,0.0,0.050842,0.0,0.0,0.101685,0.0,0.050842,0.061799,0.056112,0.068613,1
pos_113,0.0,0.0,0.0,0.053111,0.053111,0.106222,0.053111,0.0,0.0,0.0,0.0,0.053111,0.0,0.053111,0.106222,0.053111,0.053111,0.106222,0.0,0.053111,0.067523,0.074063,0.114861,1
pos_114,0.061644,0.0,0.0,0.061644,0.061644,0.0,0.061644,0.061644,0.061644,0.184931,0.0,0.061644,0.0,0.0,0.0,0.0,0.0,0.123288,0.0,0.061644,0.080849,0.04619,0.071591,1
pos_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174958,0.131219,0.131219,0.04374,0.087479,0.087479,0.04374,0.04374,0.0,0.04374,0.0,0.0,0.0,0.058668,0.072843,0.081177,1
pos_116,0.051816,0.0,0.120903,0.051816,0.086359,0.051816,0.0,0.051816,0.034544,0.017272,0.034544,0.017272,0.017272,0.0,0.069088,0.034544,0.034544,0.051816,0.0,0.0,0.09955,0.101895,0.073136,1
pos_117,0.071279,0.0,0.03564,0.0,0.0,0.03564,0.03564,0.03564,0.0,0.03564,0.03564,0.106919,0.071279,0.0,0.071279,0.0,0.03564,0.071279,0.03564,0.071279,0.098837,0.079814,0.072917,1
pos_118,0.052411,0.0,0.0,0.0,0.0,0.157232,0.0,0.104821,0.052411,0.052411,0.0,0.052411,0.104821,0.052411,0.052411,0.0,0.104821,0.0,0.0,0.0,0.093615,0.073122,0.047105,1
pos_119,0.094537,0.0,0.031512,0.031512,0.0,0.031512,0.031512,0.0,0.094537,0.031512,0.031512,0.0,0.0,0.031512,0.063024,0.0,0.126049,0.094537,0.0,0.063024,0.065761,0.094791,0.083155,1
pos_120,0.0,0.0,0.0,0.098447,0.049224,0.0,0.0,0.049224,0.147671,0.098447,0.0,0.098447,0.0,0.049224,0.098447,0.049224,0.0,0.0,0.0,0.0,0.078952,0.08975,0.092945,1
